Jean Dawson,United States,San Diego,1995-12-22,nan,male
Caye,United States,no data,no data,nan,male
DaBaby,United States,Cleveland,1991-12-22,nan,male
Gucci Mane,United States,Bessemer,1980-02-12,nan,male
JZAC,New Hampshire,Boston,1991-03-06,nan,male
Bazanji,North Carolina,United Kingdom,no data,nan,male
Shordie Shordie,United States,no data,1996,nan,male
Sleep Token,United Kingdom,London,2016,nan,no data
no data,no data,no data,no data,no data,no data
Common,United States,Chicago,1972-03-13,nan,male
A Boogie Wit da Hoodie,United States,The Bronx,1995-12-06,nan,male
Blu,United States,San Pedro,1983-04-15,nan,male
N2Deep,United States,Vallejo,1990,nan,no data
K.A.A.N.,United States,Howard County,1991-01-13,nan,male
The Rolling Stones,United Kingdom,London,1962,nan,no data
Logic,United States,Gaithersburg,1990-01-22,nan,male
Edward Ka-Spel,London,London,1954-01-23,nan,male
DJ BoBo,Switzerland,Kölliken,1968-01-05,nan,male
Kid Cudi,United States,Cleveland,1984-01-30,nan,male
Guilty Simpson,Detroit,Detroit,1980-01-11,nan,male
Kurious,United States,no data,no data,nan,male
Naughty by Nature,United States,East Orange,1989,nan,no data
SwaVay,United States,no data,no data,nan,male
P!nk,United States,Doylestown,1979-09-08,nan,female
Evening Stroll,no data,no data,no data,nan,male
Ty Dolla $ign,United States,Los Angeles,1985-04-13,nan,male
NF,United States,Gladwin,1991-03-30,nan,male
Mike Oldfield,United Kingdom,Reading,1953-05-15,nan,male
Kodak Black,United States,Pompano Beach,1997-06-11,nan,male
Killer Mike,United States,Atlanta,1975-04-20,nan,male
NLE Choppa,United States,Memphis,2002-11-01,nan,male
no data,no data,no data,no data,no data,no data
sleeping with shoes on,no data,no data,no data,nan,male
Aesop Rock,United States,Syosset,1976-06-05,nan,male
Yeek,Los Angeles,no data,1991,nan,male
Rowlan,Boston,Harwich,no data,nan,male
Delirium,Italy,no data,1970,nan,no data
Black Sabbath,United Kingdom,Birmingham,1968-09,True,no data
DStar,no data,no data,no data,nan,no data
Moneybagg Yo,United States,Memphis,1991-09-22,nan,male
Hemanifezt,no data,no data,no data,nan,no data
GRIP,Atlanta,no data,1989,nan,male
Murs,United States,Los Angeles,1978-03-16,nan,male
Cream,United Kingdom,London,1966-07,True,no data
Vibes,United States,no data,no data,nan,no data
GINGE,no data,no data,no data,nan,female
Elliott Smith,United States,Omaha,1969-08-06,True,male
Locs,no data,no data,no data,nan,no data
J. K. Rowling,United Kingdom,Yate,1965-07-31,nan,female
Lil Mosey,United States,Seattle,2002-01-25,nan,male
toilet,no data,no data,no data,nan,no data
Supreme Allah,no data,no data,no data,nan,no data
Mullah,Germany,no data,no data,nan,no data
Lil Yachty,United States,Mableton,1997-08-23,nan,male
Neil Young,Canada,Toronto,1945-11-12,nan,male
dead prez,United States,Tallahassee,1996,nan,no data
Jaah SLT,no data,no data,no data,nan,no data
Doughphresh da Don,no data,no data,no data,nan,no data
Icecoldbishop,United States,no data,no data,nan,male
Fortuna,Brazil,no data,no data,nan,female
no data,no data,no data,no data,no data,no data
DJ Muggs,United States,Queens,1968-01-28,nan,male
IDK,United States,London,1992-05-24,nan,male
GloRilla,United States,Memphis,1999-07-28,nan,female
Demrick,United States,no data,1981-03-07,nan,male
Kutt Calhoun,United States,Kansas City,1977-01-01,nan,male
Kevin Rix,no data,no data,no data,nan,male
Gift of Gab,United States,Panorama City,1970-10-07,True,male
Bishop Nehru,United States,Rockland County,1996-08-26,nan,male
Hit Mix,no data,no data,no data,nan,no data
Wiz Khalifa,United States,Minot,1987-09-08,nan,male
Post Malone,United States,Syracuse,1995-07-04,nan,male
Jack Harlow,United States,Louisville,1998-03-13,nan,male
Louisa May Alcott,United States,Philadelphia,1832-11-29,True,female
Rhymefest,United States,Chicago,1977-07-06,nan,male
Cardi B,United States,The Bronx,1992-10-11,nan,female
Various Artists,no data,no data,no data,nan,no data
no data,no data,no data,no data,no data,no data
Lou Rawls,United States,Chicago,1933-12-01,True,male
Gang Starr,United States,Boston,1985,True,no data
Hip-Hop,Denmark,no data,no data,nan,no data
