Bad Bunny,Puerto Rico,San Juan,1994-03-10,nan,male
Feid,Colombia,Medellín,1992-08-19,nan,male
Shakira,Colombia,Barranquilla,1977-02-02,nan,female
Ozuna,Puerto Rico,San Juan,1992-03-13,nan,male
Rauw Alejandro,Puerto Rico,San Juan,1993-01-10,nan,male
G. G. Anderson,Germany,Eschwege,1949-12-04,nan,male
Luis Fonsi,Puerto Rico,San Juan,1978-04-15,nan,male
Gente de Zona,Cuba,La Habana,2000,nan,no data
Chuwi,no data,Puerto Rico,2020,nan,no data
Mima,Puerto Rico,no data,no data,nan,female
Nacho Vegas,Spain,Gijón,1974-12-09,nan,male
Mitú,Colombia,no data,no data,nan,no data
Isabella Lovestory,Canada,Honduras,1993-11-30,nan,female
Billy Ocean,United Kingdom,Siparia,1950-01-21,nan,male
Luna,United States,New York,1991,True,no data
G. G. Anderson,Germany,Eschwege,1949-12-04,nan,male
Sofía Reyes,Mexico,Monterrey,1995-09-25,nan,female
Los Lobos,United States,Los Angeles,1973,nan,no data
Bebo Dumont,no data,no data,no data,nan,male
Bad Gyal,Catalunya,Vilassar de Mar,1997-03-07,nan,female
miko,Japan,Chiba,1988-03-25,nan,female
Hottest,no data,no data,no data,nan,no data
Galo,United States,no data,no data,nan,male
SOG,Wellington,no data,no data,nan,no data
Piso 21,Colombia,no data,no data,nan,no data
Mula,Dominican Republic,no data,no data,nan,no data
Jarina De Marco,Brooklyn,Dominican Republic,1990,nan,female
Calma Carmona,Puerto Rico,no data,1984-08-27,nan,female
Beéle,Colombia,Barranquilla,2003,nan,male
Black Guayaba,Puerto Rico,San Juan,2000,nan,no data
PIQUETE,Puerto Rico,Puerto Rico,no data,nan,no data
Cardi B,United States,The Bronx,1992-10-11,nan,female
ÌFÉ,San Juan,no data,no data,nan,no data
Yandel,Puerto Rico,no data,1977-01-14,nan,male
Bacilos,United States,Miami,1995,nan,no data
SF,New Zealand,no data,no data,nan,no data
Belinda Carlisle,United States,Los Angeles,1958-08-17,nan,female
Yng Lvcas,no data,no data,no data,nan,male
Mint Field,Tijuana,no data,no data,nan,no data
Mario Bautista,Mexico,no data,no data,nan,male
Karen Rose,United States,no data,no data,nan,female
Lagos,Germany,no data,no data,nan,male
[data],no data,no data,no data,nan,not applicable
Marc Seguí,Spain,Mallorca,1998,nan,male
DannyLux,United States,no data,2004-03-12,nan,male
Zion I,United States,Oakland,1996,nan,no data
Gabriella Quevedo,Sweden,Kinna,1997-01-12,nan,female
iZaak,Puerto Rico,no data,1992,nan,male
J Balvin,Colombia,Medellín,1985-05-07,nan,male
Misa Negra,United Kingdom,no data,1998,nan,no data
Certified Trapper,United States,no data,no data,nan,male
Kali Uchis,United States,Alexandria,1994-07-17,nan,female
The Allman Brothers Band,United States,Macon,1969-03-26,True,no data
Similar,Puerto Rico,no data,2008,nan,no data
Bondy,no data,no data,no data,nan,no data
Tiago PZK,Argentina,Monte Grande,2001-08-03,nan,male
Tayko,no data,no data,no data,nan,no data
no data,no data,no data,no data,no data,no data
Colors,no data,no data,no data,nan,no data
Swave,no data,no data,no data,nan,no data
Siete Catorce,Mexico,no data,no data,nan,male
Ozomatli,United States,Los Angeles,1996,nan,no data
De La Ghetto,Puerto Rico,no data,1984-09-17,nan,male
Sebastián Yatra,Colombia,Medellín,1994-10-15,nan,male
Emina Jahović,Türkiye,Novi Pazar,1982-01-15,nan,female
Nicole Zignago,Peru,Lima,1995-12-27,nan,female
El Hijo de Borikén,Puerto Rico,no data,no data,nan,male
OKAN,Canada,Toronto,2016,nan,no data
Puya,Romania,no data,1979-07-22,nan,male
Dogos,no data,no data,no data,nan,no data
