Bad Bunny,EL ÚLTIMO TOUR DEL MUNDO,DÁKITI,2020-11-27,16
Bad Bunny,DÁKITI,DÁKITI,2020-10-30,1
Feid,CLASSY 101,CLASSY 101,2023-03-31,1
Shakira,Monotonía,Monotonía,2022-10-19,1
Ozuna,Nibiru,Baila Baila Baila,2019-11-29,18
Rauw Alejandro,Tattoo,Tattoo,2020-02-13,1
Becky G,boomerang,boomerang,2024-03-15,1
Luis Fonsi,Bésame,Bésame,2021-06-04,1
Gente De Zona,Feliz,Feliz,2023-08-30,1
Chuwi,Tierra,Mundi,2024-03-23,5
Mima,Bachaqué,Bachaqué,2023-11-19,1
Gente De Zona,Demasiado,Feliz,2024-04-18,10
Chuwi,Pan,Tikiri,2022-10-28,4
Ozuna,Cosmo,La 65,2023-11-17,15
Gente De Zona,OTRA COSA,Momento,2019-05-24,16
Ozuna,OzuTochi,La Copa,2022-10-07,18
Chuwi,Pan,Uwu,2022-10-28,4
Nacho,Miami,Miami,2024-07-25,1
Mitú,Astra,Nene,2023-04-26,10
Ozuna,Nibiru,Danzau,2019-11-29,18
Isabella Lovestory,Latina,Latina,2023-03-15,1
Ozuna,4:22,4:22,2022-10-06,1
Mima,El arca de Mima,El arca de Mima,2021-06-13,1
Mima,La máquina patinaba,La máquina patinaba,2014-12-02,1
Danny Ocean,Latino Hits 2024,AMOR,2024-03-16,44
Ozuna,Un Reel,Un Reel,2022-10-06,1
Luna Luna,L.L.,La Calma,2023-09-29,6
Danny Ocean,Latino Hits 2024,Brisa,2024-03-16,44
KAROL G,ODISEA,ODISEA,2021-03-25,1
Sofía Reyes,Latino Hits 2024,tqum,2024-03-16,44
Mima,El Pozo,La Princesa,2011-10-05,11
Los Inconformes,Culpa,Culpa,2023-10-31,1
Bebo Dumont,Ninguna,Ninguna,2023-11-22,1
Bad Gyal,Top Canciones LATAM,Chulo pt.2,2023-09-01,30
Young Miko,Mix: Lo Mejor de la Música Latina 2023,Lisa,2023-10-20,30
2024 Hottest Songs,Hottest Songs Mix Up,Latin Hit,2024-01-25,5
Von Galo,Calling,Calling,2024-10-04,3
SOG,Latino Hits 2024,Pórtate mal,2024-03-16,44
Mima,Mima,Mima,2005-06-05,10
Piso 21,Latino Hits 2024,Sueltas,2024-03-16,44
Mima,Mima,Cae,2005-06-05,10
Mula,Ven Vamos,Ven Vamos,2022-08-05,1
Jarina De Marco,Vacío,Vacío,2021-09-02,1
Calma Carmona,Where did you go?,Where did you go?,2024-07-26,1
Beéle,Lo Más Escuchado del 2023,Guaro,2023-12-14,5
Black Guayaba,La Fábrica de Sueños,Cielo,2024-05-24,7
Chuwi,Tiroteo,Tiroteo,2021-04-07,1
Mima,El Pozo,Ojo avizor,2011-10-05,11
PIQUETE,Fluir,Fluir,2019-10-26,1
Cardi B,Latino Hits 2024,I Like It,2024-03-16,44
Mima,Mima,Monín,2005-06-05,10
ÌFÉ,0000+0000,Heart Full of Love,2021-11-05,11
Yandel,Latino Hits 2024,Borracho y loco,2024-03-16,44
Bacilos,Latino Hits 2024,Caraluna,2024-03-16,44
LA GENTE SF,Borderless,Morena,2020-01-24,6
Belinda,Latino Hits 2024,Cactus,2024-03-16,44
Yng Lvcas,Latino Hits 2024,Wazap,2024-03-16,44
Mint Field,Aprender a Ser,El Suspiro Cambia Todo,2023-10-27,10
Von Galo,Tiempo,Tiempo,2023-04-28,1
Mario Bautista,Latino Hits 2024,Anónimo,2024-03-16,44
Elena Rose,Latino Hits 2024,Disculpa amiga,2024-03-16,44
LAGOS,Latino Hits 2024,Blanco y negro,2024-03-16,44
Bang Data,Mucho Poco,Bailazo,2014-10-14,10
Mitú,Astra,Yodo,2023-04-26,10
Marc Seguí,Viva Latinos,Tiroteo - Remix,2023-10-03,34
DannyLux,Latino Hits 2024,HOUSE OF LUX,2024-03-16,44
Mint Field,Aprender a Ser,Orquídea,2023-10-27,10
Zion & Lennox,Mega Hits Latinos,Otra vez,2024-01-30,30
Quevedo,Latino Hits 2024,Playa del inglés,2024-03-16,44
iZaak,Top Hits Latinos 2023,Juqueando,2023-12-16,50
J Balvin,Música Variada y de todo,Ginza,2021-05-28,34
La Misa Negra,La Misa Negra,Tierra,2017-09-29,13
Lp Certified,Latina Lover,Latina Lover,2024-07-04,1
Kali Uchis,Lo mas copado del 2023,Moonlight,2023-12-16,32
Meridian Brothers,Mi Latinoamérica Sufre,Mis soledades,2024-07-12,11
Similar,상상,상상 (feat. Somm),2016-12-21,2
Bad Bondy,latino rap,latino rap,2024-07-11,1
Tiago PZK,Latino Hits 2024,Me enteré,2024-03-16,44
Tayko,Ecolocalización,Bunta,2023-09-08,15
BluNites,Diabla,Diabla,2024-07-01,1
Mint Field,Sensibilidad dormida,Sensibilidad dormida,2024-07-24,3
