0,Noah Kahan,Stick Season,track,Stick Season,14,2022-10-14
1,Djo,End of Beginning,track,DECIDE,13,2022-09-16
2,Sabrina Carpenter,Nonsense,track,emails i can't send,13,2022-07-15
3,SZA,Snooze,track,SOS,23,2022-12-09
4,d4vd,Romantic Homicide,track,Romantic Homicide,1,2022-07-20
5,SZA,Kill Bill,track,SOS,23,2022-12-08
6,Josh Meloy,Porch Light,track,Porch Light,1,2022-11-18
7,Noah Kahan,All My Love,track,Stick Season,14,2022-10-14
8,Harry Styles,As It Was,track,Harry's House,13,2022-05-20
9,Suki Waterhouse,Good Looking,track,Good Looking,3,2022-08-18
10,Lil Durk,Broadway Girls (feat. Morgan Wallen),track,7220 (Reloaded),18,2022-03-10
11,beabadoobee,the perfect pair,track,Beatopia,14,2022-07-15
12,SZA,Good Days,track,SOS,23,2022-12-09
13,Drake,Jimmy Cooks (feat. 21 Savage),track,"Honestly, Nevermind",14,2022-06-17
14,Sabrina Carpenter,because i liked a boy,track,emails i can't send,13,2022-07-15
15,Noah Kahan,Northern Attitude,track,Stick Season,14,2022-10-14
16,JID,Surround Sound (feat. 21 Savage & Baby Tate),track,The Forever Story (Extended Version),16,2022-10-31
17,Lizzy McAlpine,ceilings,track,five seconds flat,14,2022-04-08
18,Taylor Swift,Anti-Hero,track,Midnights,13,2022-10-21
19,SZA,Open Arms (feat. Travis Scott),track,SOS,23,2022-12-08
20,David Guetta,I'm Good (Blue),track,I'm Good (Blue),2,2022-08-26
21,Wyatt Flores,Please Don't Go,track,Please Don't Go,1,2022-07-15
22,Billie Eilish,TV,track,Guitar Songs,2,2022-07-21
23,Noah Kahan,Orange Juice,track,Stick Season,14,2022-10-14
24,ERNEST,Flower Shops (feat. Morgan Wallen),track,FLOWER SHOPS (THE ALBUM),11,2022-03-11
25,LECADE,When Im Gone,track,When Im Gone,1,2022-05-27
26,Drake,Spin Bout U,track,Her Loss,16,2022-11-04
27,Omar Apollo,Evergreen (You Didn’t Deserve Me At All),track,Ivory,16,2022-04-08
28,Lainey Wilson,Watermelon Moonshine,track,Bell Bottom Country,16,2022-11-28
29,Imagine Dragons,Bones,track,Mercury - Acts 1 & 2,32,2022-07-01
30,Meghan Trainor,Made You Look,track,Takin' It Back,16,2022-10-21
31,Noah Kahan,New Perspective,track,Stick Season,14,2022-10-14
32,Post Malone,I Like You (A Happier Song) (with Doja Cat),track,Twelve Carat Toothache,14,2022-06-03
33,Benson Boone,NIGHTS LIKE THESE,track,Walk Me Home...,8,2022-07-29
34,Tate McRae,she's all i wanna be,track,i used to think i could fly,13,2022-05-27
35,OneRepublic,I Ain't Worried,track,"I Ain’t Worried (Music From The Motion Picture ""Top Gun: Maverick"")",1,2022-05-13
36,Taylor Swift,Karma,track,Midnights,13,2022-10-21
37,SZA,Low,track,SOS,23,2022-12-09
38,Lainey Wilson,Heart Like A Truck,track,Bell Bottom Country,16,2022-11-28
39,Noah Kahan,Homesick,track,Stick Season,14,2022-10-14
40,Drake,Rich Flex,track,Her Loss,16,2022-11-04
41,The Weeknd,Is There Someone Else?,track,Dawn FM,16,2022-01-06
42,Cults,Gilded Lily,track,Offering,13,2022-10-26
43,Sabrina Carpenter,Read your Mind,track,emails i can't send,13,2022-07-15
44,JVKE,golden hour,track,this is what ____ feels like (Vol. 1-4),12,2022-09-23
45,SZA,Awkward,track,Ctrl (Deluxe),21,2022-06-09
46,Noah Kahan,"Everywhere, Everything",track,Stick Season,14,2022-10-14
47,Chance Peña,In My Room,track,In My Room,1,2022-05-06
48,SZA,Kill Bill,track,SOS,23,2022-12-09
49,Becky G,MAMIII,track,ESQUEMAS,14,2022-05-13
50,Conan Gray,People Watching,track,Superache,12,2022-06-24
51,Feid,Feliz Cumpleaños Ferxxo,track,FELIZ CUMPLEAÑOS FERXXO TE PIRATEAMOS EL ÁLBUM,15,2022-09-14
52,Harry Styles,Late Night Talking,track,Harry's House,13,2022-05-20
53,Taylor Swift,"You're On Your Own, Kid",track,Midnights,13,2022-10-21
54,Imagine Dragons,Enemy (with JID) - from the series Arcane League of Legends,track,Mercury - Acts 1 & 2,32,2022-07-01
55,Taylor Swift,Lavender Haze,track,Midnights,13,2022-10-21
56,Rema,Calm Down (with Selena Gomez),track,Calm Down (with Selena Gomez),1,2022-08-25
57,Conan Gray,Memories,track,Superache,12,2022-06-24
58,SZA,Shirt,track,SOS,23,2022-12-09
59,Taylor Swift,Bejeweled,track,Midnights,13,2022-10-21
60,Hotel Ugly,Shut up My Moms Calling (Sped up),track,Shut up My Moms Calling (Sped up),2,2022-09-14
61,Joji,Glimpse of Us,track,Glimpse of Us,1,2022-06-10
62,Dhruv,double take,track,rapunzel,8,2022-01-21
63,Alok,Deep Down (feat. Never Dull),track,Deep Down (feat. Never Dull),1,2022-06-17
64,Warren Zeiders,Ride the Lightning - 717 Tapes,track,717 Tapes the Album,15,2022-09-30
65,Drake,Hours In Silence,track,Her Loss,16,2022-11-04
66,Chance Peña,Sleep Deprivation,track,Sleep Deprivation,1,2022-04-01
67,Riley Green,Hell Of A Way To Go,track,Hell Of A Way To Go,1,2022-05-13
68,Conan Gray,Family Line,track,Superache,12,2022-06-24
69,SZA,Open Arms (feat. Travis Scott),track,SOS,23,2022-12-09
70,JVKE,this is what falling in love feels like,track,this is what ____ feels like (Vol. 1-4),12,2022-09-23
71,Jack Harlow,First Class,track,Come Home The Kids Miss You,15,2022-05-06
72,Sam Smith,Unholy (feat. Kim Petras),track,Unholy (feat. Kim Petras),1,2022-09-22
73,NewJeans,Ditto,track,Ditto,1,2022-12-19
74,SZA,Ghost in the Machine (feat. Phoebe Bridgers),track,SOS,23,2022-12-09
75,Joji,Glimpse of Us,track,SMITHEREENS,9,2022-11-04
76,Taylor Swift,Midnight Rain,track,Midnights,13,2022-10-21
77,Feid,Normal,track,FELIZ CUMPLEAÑOS FERXXO TE PIRATEAMOS EL ÁLBUM,15,2022-09-14
78,Suki Waterhouse,Moves,track,I Can't Let Go,10,2022-05-06
79,Bryan Martin,Memory to Drown,track,Self Inflicted Scars,12,2022-04-29
80,Benson Boone,Before You,track,Before You,1,2022-10-28
81,JVKE,golden hour,track,this is what falling in love feels like (554Hz),3,2022-10-03
82,Swedish House Mafia,Moth To A Flame (with The Weeknd),track,Paradise Again,17,2022-04-15
83,Conan Gray,Astronomy,track,Superache,12,2022-06-24
84,Tory Lanez,I LIKE,track,I LIKE,1,2022-04-22
85,Joji,Die For You,track,SMITHEREENS,9,2022-11-04
86,Doja Cat,Vegas (From the Original Motion Picture Soundtrack ELVIS),track,Vegas (From the Original Motion Picture Soundtrack ELVIS),1,2022-05-06
87,Feid,CHORRITO PA LAS ANIMAS,track,SIXDO,6,2022-12-02
88,Beyoncé,CUFF IT,track,RENAISSANCE,16,2022-07-29
89,Ozuna,Hey Mor,track,OzuTochi,18,2022-10-07
90,Wyatt Flores,Losing Sleep,track,Losing Sleep,1,2022-02-11
91,Bryan Martin,Everyone's An Outlaw,track,Self Inflicted Scars,12,2022-04-29
92,Warren Zeiders,Up To No Good,track,717 Tapes the Album,15,2022-09-30
93,Sean Paul,Get Busy,track,Dutty Rock (20th Anniversary),21,2022-11-11
94,Yuridia,Qué Agonía,track,Pa' Luego Es Tarde,14,2022-10-20
95,Bizarrap,"Quevedo: Bzrp Music Sessions, Vol. 52",track,"Quevedo: Bzrp Music Sessions, Vol. 52",1,2022-07-06
96,Josh Meloy,You Here Tonight,track,You Here Tonight,1,2022-08-26
97,Drake,On BS,track,Her Loss,16,2022-11-04
98,NewJeans,Hype Boy,track,NewJeans 1st EP 'New Jeans',4,2022-08-01
99,Drake,Pussy & Millions (feat. Travis Scott),track,Her Loss,16,2022-11-04
100,Lizzy McAlpine,doomsday,track,five seconds flat,14,2022-04-08
101,The Weeknd,Out of Time,track,Dawn FM,16,2022-01-06
102,SZA,Love Language,track,SOS,23,2022-12-09
103,Hailey Whitters,Everything She Ain’t,track,Raised,17,2022-03-18
104,ROSALÍA,DESPECHÁ,track,MOTOMAMI +,24,2022-09-09
105,Noah Kahan,She Calls Me Back,track,Stick Season,14,2022-10-14
106,Billie Eilish,The 30th,track,Guitar Songs,2,2022-07-21
107,Hotel Ugly,I Think I Left the Stove On,track,I Think I Left the Stove On,1,2022-07-14
108,Ethel Cain,American Teenager,track,Preacher’s Daughter,13,2022-05-12
109,David Kushner,Mr. Forgettable,track,Footprints I Found,7,2022-09-16
110,Treaty Oak Revival,Stay Tuned,track,Stay Tuned,1,2022-04-01
111,Drake,Privileged Rappers,track,Her Loss,16,2022-11-04
112,Noah Kahan,Growing Sideways,track,Stick Season,14,2022-10-14
113,NewJeans,Attention,track,NewJeans 1st EP 'New Jeans',4,2022-08-01
114,Marshmello,Numb,track,Numb,1,2022-06-10
115,Harry Styles,Satellite,track,Harry's House,13,2022-05-20
116,Taylor Swift,Maroon,track,Midnights,13,2022-10-21
117,Sabrina Carpenter,emails i can’t send,track,emails i can't send,13,2022-07-15
118,Tate McRae,uh oh,track,uh oh,1,2022-09-30
119,Benson Boone,In The Stars,track,In The Stars,1,2022-04-29
120,Riton,Fake ID (Coke & Rum Remix),track,Fake ID (Coke & Rum Remix),1,2022-12-15
121,JIN,The Astronaut,track,The Astronaut,1,2022-10-28
122,Post Malone,Cooped Up / Return Of The Mack,track,Cooped Up / Return Of The Mack,1,2022-10-21
123,Conan Gray,The Exit,track,Superache,12,2022-06-24
124,Swedish House Mafia,Heaven Takes You Home (feat. Connie Constance),track,Paradise Again,17,2022-04-15
125,Kylie Morgan,If He Wanted To He Would,track,P.S.,7,2022-07-01
126,Matt Hansen,better off without me,track,better off without me,1,2022-03-04
127,SZA,I Hate U,track,SOS,23,2022-12-09
128,Harry Styles,Little Freak,track,Harry's House,13,2022-05-20
129,Sabrina Carpenter,Vicious,track,emails i can't send,13,2022-07-15
