Royel Otis,Sydney,Sydney,no data,nan
Imagine Dragons,United States,Las Vegas,2008,nan
Jon Pardi,United States,Dixon,1985-05-20,nan
Cole Swindell,United States,Glennville,1983-06-30,nan
OneRepublic,United States,Colorado Springs,2004,nan
The 1975,United Kingdom,Manchester,2002,nan
Bob Dylan,United States,Duluth,1941-05-24,nan
Isaac Hayes,United States,Covington,1942-08-20,True
House of Pain,United States,New York,1990,True
Dustin Lynch,United States,Tullahoma,1985-05-14,nan
Mother Mother,Canada,Vancouver,2005,nan
Tauren Wells,United States,Battle Creek,1986-04-07,nan
Thomas Rhett,United States,Valdosta,1990-03-30,nan
Midrift,no data,no data,no data,nan
Stephen King,United States,Portland,1947-09-21,nan
Depeche Mode,United Kingdom,Basildon,1980-03,nan
Brantley Gilbert,United States,Jefferson,1985-01-20,nan
The Pineapple Thief,United Kingdom,Somerset,1999,nan
Ghost,Sweden,Linköping,2008,nan
SunKissed Lola,Olongapo City,no data,2021,nan
Josiah and the Bonnevilles,no data,no data,no data,nan
We Came as Romans,United States,Troy,2005,nan
Stick Figure,United States,Duxbury,2006,nan
quannnic,Florida,no data,no data,nan
tobyMac,United States,Fairfax,1964-10-22,nan
The Black Keys,United States,Akron,2001,nan
Wet Leg,United Kingdom,Isle of Wight,2019,nan
Mitchell Tenpenny,United States,Nashville,1989-08-17,nan
Chris Tomlin,United States,Grand Saline,1972-05-04,nan
Vance Joy,Australia,Melbourne,1987-12-01,nan
Papa Roach,United States,Vacaville,1993,nan
DENM,United States,Santa Barbara,no data,nan
Three Days Grace,Canada,Norwood,1997,nan
Elton John,United Kingdom,Pinner,1947-03-25,nan
Rachael Lampa,United States,Ann Arbor,1985-01-08,nan
Eli Young Band,United States,no data,2000,nan
Nickelback,Canada,Hanna,1995,nan
Florence + the Machine,United Kingdom,London,2007,nan
Polyphia,United States,Plano,2010,nan
Jason Aldean,United States,Macon,1977-02-28,nan
Hozier,Ireland,Bray,1990-03-17,nan
The Lumineers,United States,Ramsey,2008-12-31,nan
Russell Dickerson,United States,Nashville,1987-05-07,nan
MARETU,Japan,no data,no data,nan
Bob Schneider,United States,Ypsilanti,1965-10-12,nan
Bette Midler,United States,Honolulu,1945-12-01,nan
Whiskey Myers,United States,Palestine,2005-04,nan
King Clave,Argentina,Formosa,1944-02-14,nan
Sam Hunt,United States,Cedartown,1984-12-08,nan
Slipknot,United States,Des Moines,1995,nan
Gorillaz,England,Essex,1999,nan
Starset,United States,Columbus,2013,nan
[unknown],[Worldwide],no data,no data,nan
RADWIMPS,Japan,Yokohama,2001,nan
The Hip Abduction,no data,no data,no data,nan
The Beatles,United Kingdom,Liverpool,1960,True
Måneskin,Italy,Roma,2016,nan
Ben Rector,United States,Oklahoma City,1986-11-06,nan
Bring Me the Horizon,United Kingdom,Sheffield,2004-03,nan
Ronnie Lane,United Kingdom,Plaistow,1946-04-01,True
Maná,Mexico,Guadalajara,1986,nan
Milky Chance,Germany,Kassel,2012,nan
I Am They,Carson City,no data,no data,nan
Bonnie Tyler,United Kingdom,Skewen,1951-06-08,nan
Sanctus Real,United States,Toledo,1996,nan
Dominic Fike,Florida,Naples,1995-12-30,nan
AC/DC,Australia,Sydney,1973-11,nan
Score,no data,no data,no data,nan
Rend Collective,Northern Ireland,Bangor,2004,nan
Alvvays,Canada,Toronto,2011,nan
Tame Impala,Australia,Sydney,1986-01-20,nan
"Black Country, New Road",United Kingdom,Cambridge,2018,nan
Eve,United States,Philadelphia,1978-11-10,nan
Journey,United States,San Francisco,1973,nan
Dan Bremnes,Canada,Kamloops,1983-05-11,nan
Brandon Heath,United States,Nashville,1978-07-21,nan
Stephen King,United States,Portland,1947-09-21,nan
Red Hot Chili Peppers,United States,Los Angeles,1983,nan
My Chemical Romance,United States,Newark,2001-09-12,nan
Florida Georgia Line,United States,Nashville,2010,True
Rammstein,Germany,Berlin,1994-01,nan
Goth Babe,no data,no data,no data,nan
Friday Pilots Club,United States,Chicago,2017,nan
Tropidelic,United States,Cleveland,no data,nan
MercyMe,United States,no data,1994,nan
Yeah Yeah Yeahs,United States,New York,2000,nan
Bryan Adams,Canada,Kingston,1959-11-05,nan
Talking Heads,United States,New York,1974,True
Generación 12,Colombia,Bogotá,2007,nan
Level 42,United Kingdom,Isle of Wight,1980,nan
Metallica,United States,Los Angeles,1981-10-28,nan
Dayglow,United States,Aledo,1999-08-10,nan
Official髭男dism,Japan,Shimane,2012-06-07,nan
Arctic Monkeys,United Kingdom,High Green,2002,nan
BUMP OF CHICKEN,Japan,no data,1994,nan
Palaye Royale,United States,Las Vegas,2008,nan
モーニング娘。,Japan,no data,1997-11-03,nan
Muse,United Kingdom,Teignmouth,1994,nan
Natalia Lafourcade,Mexico,Coatepec,1984-02-26,nan
Coheed and Cambria,United States,Nyack,2001,nan
no data,no data,no data,no data,no data
G. G. Anderson,Germany,Eschwege,1949-12-04,nan
Kairikibear,no data,no data,no data,nan
Little Stranger,Charleston,no data,no data,nan
Father John Misty,United States,Rockville,1981-05-03,nan
Jerry Lee Lewis,United States,Ferriday,1935-09-29,True
Jimmie Allen,United States,Milton,1986-06-18,nan
Quarters of Change,New York,no data,no data,nan
Luna Li,Canada,Toronto,1996-10-03,nan
Highly Suspect,United States,Massachusetts,2009,nan
Ryan Stevenson,United States,Bonanza,1979-01-21,nan
Elvis Presley,United States,Tupelo,1935-01-08,True
Petey Pablo,United States,Greenville,1973-07-22,nan
Phil Wickham,United States,San Diego,1984-04-05,nan
Portugal. The Man,United States,Wasilla,2004,nan
valence,no data,no data,no data,nan
The Bones of J.R. Jones,New York,no data,no data,nan
[unknown],[Worldwide],no data,no data,nan
