,genero_musica,artista,listeners,playcount,biografia,artistas_similares
0,hiphop,Jean Dawson,424461,13820680,"Jean Dawson (born December 22, 1995) is an American singer-songwriter and rapper from Los Angeles, CA. Born in San Diego, California, he was raised between the borderlines of Southern California and Mexico. Dawson began making music by the age of 14, influenced by a diverse range of genres including punk, hip-hop, and experimental pop.

Growing up in a bi-cultural environment, Dawson's music reflects his eclectic upbringing, blending elements from various musical traditions. <a href=""https://www.last.fm/music/Jean+Dawson"">Read more on Last.fm</a>","['Kevin Abstract', 'BROCKHAMPTON', 'Ag Club', 'Teezo Touchdown']"
1,hiphop,Caye,75093,656320," <a href=""https://www.last.fm/music/Caye"">Read more on Last.fm</a>","['Wiley from Atlanta', 'Nic D', 'callmestevieray', 'Kid Quill']"
2,hiphop,DaBaby,1173641,43068750,"DaBaby was born Jonathan Kirk in Cleveland, Ohio in 1991. By age six, he'd relocated to Charlotte, North Carolina and spent his adolescence engaged in street life. In December 2014, Kirk made a quick decision to become a rapper, taking the name Baby Jesus and issuing his NonFiction mixtape a month later. Never having been on a stage before, he headed to South by Southwest in the spring of 2015. Kirk changed his name to DaBaby, going so far as to explain the ""political reasons"" for this decision in the lyrics to ""DaBaby (Intro) <a href=""https://www.last.fm/music/DaBaby"">Read more on Last.fm</a>","['NLE Choppa', 'Stunna 4 Vegas', 'Roddy Ricch', 'Rich the Kid']"
3,hiphop,Gucci Mane,2318468,47647445,"Radric Davis (born February 12, 1980 in Birmingham, Alabama), better known by his stage name Gucci Mane, is an American rapper and CEO of 1017 Brick Squad Records. In 2005 he released his independent debut album, Trap House, which featured the successful single ""Icy"" that he recorded with Young Jeezy. He has since released a further three albums including 2006's Hard To Kill, 2007's Trap-A-Thon and 2007's Back To The Trap House. His sixth studio album <a href=""https://www.last.fm/music/Gucci+Mane"">Read more on Last.fm</a>","['OJ da Juiceman', 'Young Dolph', 'Young Jeezy', 'Waka Flocka Flame']"
4,hiphop,JZAC,33910,292573," <a href=""https://www.last.fm/music/JZAC"">Read more on Last.fm</a>","['Chris Webby', 'EKOH', 'Ollie Joseph', 'ChrispyD']"
5,hiphop,Bazanji,166364,2656879,"Bazanji is an American hip-hop artist of Kurdish descent. Although he was born in the UK, he was raised in North Carolina and later moved to Miami, Florida. While pursing a degree in dentistry his music began to flourish, leaving him with difficult decisions to make regarding his future career. After graduating, he decided to pursue music full-time and has been independently validating his path into the music industry with over 200 million streams. <a href=""https://www.last.fm/music/Bazanji"">Read more on Last.fm</a>","['Vin Jay', 'Justin Stone', 'NEFFEX', 'Josh A']"
6,hiphop,Shordie Shordie,143503,3104166,"Shordie Shordie is a Baltimore artist who is part of the rap trio Peso Da Mafia (which found success with songs such as “Money Man” and “Winning.”) His unique voice and flow, along with his hypnotizing, catchy choruses earned him the nickname “Captain Hook”. In December 2018, Shordie Shordie released his debut mixtape Captain Hook, which featured his biggest song yet “Bitchuary.” <a href=""https://www.last.fm/music/Shordie+Shordie"">Read more on Last.fm</a>","['ShooterGang Kony', '03 Greedo', 'Shoreline Mafia', 'Kalan.FrFr']"
7,hiphop,Token,144588,3391649,"Ben Goldberg, known by his stage name Token, grew up north of Boston, MA. At a young age Ben was introduced to hip-hop and by the age of 6, began writing down his thoughts and emotions from events in his life and expressing himself through poetry. At the age of 10, Ben began putting melody to these lyrics and recording these poems as raps. What had started out as an outlet of expression soon became his passion. Rather than hanging out with friends as most kids his age were doing <a href=""https://www.last.fm/music/Token"">Read more on Last.fm</a>","['Hopsin', 'Joyner Lucas', 'Chris Webby', 'Cal Scruby']"
9,hiphop,Campel,81,188," <a href=""https://www.last.fm/music/Campel"">Read more on Last.fm</a>",['Sway Johnson']
10,hiphop,Common,1752737,33775507,"Lonnie Rashid Lynn, Jr. (born March 13, 1972 in Chicago, Illinois), better known by his stage name Common (previously Common Sense), is a Grammy award winning rapper, author and actor known for lyrics that focus on love and spirituality. Signed to Kanye West's G.O.O.D. Music, many people describe him as being a conscious hip hop artist who makes songs that send a message. He debuted in 1992 with the album Can I Borrow a Dollar? and maintained a significant underground following into the late 90s <a href=""https://www.last.fm/music/Common"">Read more on Last.fm</a>","['The Roots', 'Black Star', 'Slum Village', 'Mos Def']"
