,artista,listeners,playcount,biografia,artistas_similares
0,Jean Dawson,424461,13820680,"Jean Dawson (born December 22, 1995) is an American singer-songwriter and rapper from Los Angeles, CA. Born in San Diego, California, he was raised between the borderlines of Southern California and Mexico. Dawson began making music by the age of 14, influenced by a diverse range of genres including punk, hip-hop, and experimental pop.

Growing up in a bi-cultural environment, Dawson's music reflects his eclectic upbringing, blending elements from various musical traditions. <a href=""https://www.last.fm/music/Jean+Dawson"">Read more on Last.fm</a>","['Kevin Abstract', 'BROCKHAMPTON', 'Ag Club', 'Teezo Touchdown']"
1,Caye,75093,656320," <a href=""https://www.last.fm/music/Caye"">Read more on Last.fm</a>","['Wiley from Atlanta', 'Nic D', 'callmestevieray', 'Kid Quill']"
2,DaBaby,1173641,43068750,"DaBaby was born Jonathan Kirk in Cleveland, Ohio in 1991. By age six, he'd relocated to Charlotte, North Carolina and spent his adolescence engaged in street life. In December 2014, Kirk made a quick decision to become a rapper, taking the name Baby Jesus and issuing his NonFiction mixtape a month later. Never having been on a stage before, he headed to South by Southwest in the spring of 2015. Kirk changed his name to DaBaby, going so far as to explain the ""political reasons"" for this decision in the lyrics to ""DaBaby (Intro) <a href=""https://www.last.fm/music/DaBaby"">Read more on Last.fm</a>","['NLE Choppa', 'Stunna 4 Vegas', 'Roddy Ricch', 'Rich the Kid']"
3,Gucci Mane,2318468,47647445,"Radric Davis (born February 12, 1980 in Birmingham, Alabama), better known by his stage name Gucci Mane, is an American rapper and CEO of 1017 Brick Squad Records. In 2005 he released his independent debut album, Trap House, which featured the successful single ""Icy"" that he recorded with Young Jeezy. He has since released a further three albums including 2006's Hard To Kill, 2007's Trap-A-Thon and 2007's Back To The Trap House. His sixth studio album <a href=""https://www.last.fm/music/Gucci+Mane"">Read more on Last.fm</a>","['OJ da Juiceman', 'Young Dolph', 'Young Jeezy', 'Waka Flocka Flame']"
4,JZAC,33910,292573," <a href=""https://www.last.fm/music/JZAC"">Read more on Last.fm</a>","['Chris Webby', 'EKOH', 'Ollie Joseph', 'ChrispyD']"
5,Bazanji,166364,2656879,"Bazanji is an American hip-hop artist of Kurdish descent. Although he was born in the UK, he was raised in North Carolina and later moved to Miami, Florida. While pursing a degree in dentistry his music began to flourish, leaving him with difficult decisions to make regarding his future career. After graduating, he decided to pursue music full-time and has been independently validating his path into the music industry with over 200 million streams. <a href=""https://www.last.fm/music/Bazanji"">Read more on Last.fm</a>","['Vin Jay', 'Justin Stone', 'NEFFEX', 'Josh A']"
6,Shordie Shordie,143503,3104166,"Shordie Shordie is a Baltimore artist who is part of the rap trio Peso Da Mafia (which found success with songs such as “Money Man” and “Winning.”) His unique voice and flow, along with his hypnotizing, catchy choruses earned him the nickname “Captain Hook”. In December 2018, Shordie Shordie released his debut mixtape Captain Hook, which featured his biggest song yet “Bitchuary.” <a href=""https://www.last.fm/music/Shordie+Shordie"">Read more on Last.fm</a>","['ShooterGang Kony', '03 Greedo', 'Shoreline Mafia', 'Kalan.FrFr']"
7,Token,144588,3391649,"Ben Goldberg, known by his stage name Token, grew up north of Boston, MA. At a young age Ben was introduced to hip-hop and by the age of 6, began writing down his thoughts and emotions from events in his life and expressing himself through poetry. At the age of 10, Ben began putting melody to these lyrics and recording these poems as raps. What had started out as an outlet of expression soon became his passion. Rather than hanging out with friends as most kids his age were doing <a href=""https://www.last.fm/music/Token"">Read more on Last.fm</a>","['Hopsin', 'Joyner Lucas', 'Chris Webby', 'Cal Scruby']"
8,Token,144588,3391649,"Ben Goldberg, known by his stage name Token, grew up north of Boston, MA. At a young age Ben was introduced to hip-hop and by the age of 6, began writing down his thoughts and emotions from events in his life and expressing himself through poetry. At the age of 10, Ben began putting melody to these lyrics and recording these poems as raps. What had started out as an outlet of expression soon became his passion. Rather than hanging out with friends as most kids his age were doing <a href=""https://www.last.fm/music/Token"">Read more on Last.fm</a>","['Hopsin', 'Joyner Lucas', 'Chris Webby', 'Cal Scruby']"
9,Campel,81,188," <a href=""https://www.last.fm/music/Campel"">Read more on Last.fm</a>",['Sway Johnson']
10,Common,1752737,33775507,"Lonnie Rashid Lynn, Jr. (born March 13, 1972 in Chicago, Illinois), better known by his stage name Common (previously Common Sense), is a Grammy award winning rapper, author and actor known for lyrics that focus on love and spirituality. Signed to Kanye West's G.O.O.D. Music, many people describe him as being a conscious hip hop artist who makes songs that send a message. He debuted in 1992 with the album Can I Borrow a Dollar? and maintained a significant underground following into the late 90s <a href=""https://www.last.fm/music/Common"">Read more on Last.fm</a>","['The Roots', 'Black Star', 'Slum Village', 'Mos Def']"
11,A BOOGIE WIT DA HOODIE,1111942,73296334,"Artist Julius Dubose (born December 6, 1995), known professionally as A Boogie wit da Hoodie, is an American rapper, and singer-songwriter. He released his debut studio album, The Bigger Artist, via Atlantic Records in 2017. Led by the Billboard Hot 100-top 20 single ""Drowning"" (featuring Kodak Black), the album was met with critical praise and peaked at number four on the Billboard 200.[2][3]

His second album, Hoodie SZN (2018), peaked atop the Billboard 200, while his third, Artist 2. <a href=""https://www.last.fm/music/A+BOOGIE+WIT+DA+HOODIE"">Read more on Last.fm</a>",[]
12,Blu,346683,5579317,"There are 2 artists with the name Blu:
1. An American rapper and producer from Los Angeles, California.
2. An ambient drum and bass musician located in the United Kingdom.

(1) Johnson Barnes (born April 15, 1983 in Inglewood, California), better known by the stage name Blu, is an American rapper and producer. In 2007 he released his debut album, ""Below the Heavens"", which was produced entirely by Exile, one half of Emanon. Since then he has collaborated with Mainframe under the name Johnson&Jonson, and with Ta'Raach under the name C. <a href=""https://www.last.fm/music/Blu"">Read more on Last.fm</a>","['Blu & Exile', 'Elzhi', 'Fashawn', 'Skyzoo']"
13,N2DEEP,49765,265861,"N2Deep was a Chicano 'gangsta' rap group formed by James Trujillo (Jay Tee) and Timothy Lyons (TL) in Vallejo, CA. They were signed to Profile Records in the early '90s and remained an underground presence in Northern California for the remainder of the decade. <a href=""https://www.last.fm/music/N2DEEP"">Read more on Last.fm</a>","['Kool Moe Dee', 'Lil Rob', 'Young M.C.', 'Too $hort']"
14,Common,1752737,33775507,"Lonnie Rashid Lynn, Jr. (born March 13, 1972 in Chicago, Illinois), better known by his stage name Common (previously Common Sense), is a Grammy award winning rapper, author and actor known for lyrics that focus on love and spirituality. Signed to Kanye West's G.O.O.D. Music, many people describe him as being a conscious hip hop artist who makes songs that send a message. He debuted in 1992 with the album Can I Borrow a Dollar? and maintained a significant underground following into the late 90s <a href=""https://www.last.fm/music/Common"">Read more on Last.fm</a>","['The Roots', 'Black Star', 'Slum Village', 'Mos Def']"
15,K.A.A.N.,102163,3431281,"Maryland-based rapper Brandon Perry, known as Knowledge Above All Nonsense (abbreviated to K.A.A.N), is best known for his cynical, twisted tracks and fast bars. His music is heavily influenced by the abuse he has experienced, including substances, his musical idols growing up, his depression and anxiety, and his struggle to grow his fan-base. K.A.A.N is not one to use simple language – his vocabulary is far larger than that of other rappers around and he flaunts it within his tracks often. <a href=""https://www.last.fm/music/K.A.A.N."">Read more on Last.fm</a>","['Anonymuz', 'Joyner Lucas', 'Vin Jay', 'Token']"
16,Justin Stone,84018,1335489,"25-year-old alternative hip-hop artist bringing together a melting pot genre mixed with pop, punk, emo and rap. He is known for his album ""Not Really Famous"". He recently hit 100 million streams on Spotify. Other notable albums include ""Long Time Coming"", ""Beauty in the Struggle"", and ""I’ve Been Here Before"". In addition to these albums, Justin has released a plethora of EPs and singles. Justin was on the Missing Pieces Tour with Hi-Rez and Emilio Rojas. He also was on Ryan Caraveo’s 2018 Spring Tour and on the I Prevail's 2019 Trauma Tour. <a href=""https://www.last.fm/music/Justin+Stone"">Read more on Last.fm</a>","['Ryan Caraveo', 'Jez Dior', 'Witt Lowry', 'Ivan B']"
17,Logic,1436470,84605082,"Sir Robert Bryson Hall II (born January 22, 1990), known by his stage name Logic, is an American rapper, singer, songwriter, and record producer. Raised in Gaithersburg, Maryland, Logic developed an interest in music as a teenager and ventured into a musical career in early 2009 releasing Logic: The Mixtape under the name ""Psychological"", and releasing a mixtape titled Young, Broke & Infamous in 2010. He signed with Visionary Music Group, before releasing three more mixtapes over three years. <a href=""https://www.last.fm/music/Logic"">Read more on Last.fm</a>","['Joyner Lucas', 'Cordae', 'SILAS', 'Big Sean']"
18,K.A.A.N.,102163,3431281,"Maryland-based rapper Brandon Perry, known as Knowledge Above All Nonsense (abbreviated to K.A.A.N), is best known for his cynical, twisted tracks and fast bars. His music is heavily influenced by the abuse he has experienced, including substances, his musical idols growing up, his depression and anxiety, and his struggle to grow his fan-base. K.A.A.N is not one to use simple language – his vocabulary is far larger than that of other rappers around and he flaunts it within his tracks often. <a href=""https://www.last.fm/music/K.A.A.N."">Read more on Last.fm</a>","['Anonymuz', 'Joyner Lucas', 'Vin Jay', 'Token']"
19,Ka,160204,5005238,"Kaseem Ryan (born August 11, 1972, died October 12th, 2024), better known by his stage name Ka, was an American rapper, producer, and firefighter from Brownsville, Brooklyn, New York City, New York.
He was a former member of the group Natural Elements. In 1998 he formed the group Nightbreed with his friend Kev. In 2008, he was re-introduced on GZA's album Pro Tools on the song ""Firehouse"" and in that same year he released his debut album Iron Works. <a href=""https://www.last.fm/music/Ka"">Read more on Last.fm</a>","['Dr. Yen Lo', 'Roc Marciano', 'Mach-Hommy', 'E L U C I D']"
20,DJ Feedo,401,1173," <a href=""https://www.last.fm/music/DJ+Feedo"">Read more on Last.fm</a>","['Krispel', 'Gifted Hands', 'Adela Brit', 'Kane Comfort']"
21,Ka,160204,5005238,"Kaseem Ryan (born August 11, 1972, died October 12th, 2024), better known by his stage name Ka, was an American rapper, producer, and firefighter from Brownsville, Brooklyn, New York City, New York.
He was a former member of the group Natural Elements. In 1998 he formed the group Nightbreed with his friend Kev. In 2008, he was re-introduced on GZA's album Pro Tools on the song ""Firehouse"" and in that same year he released his debut album Iron Works. <a href=""https://www.last.fm/music/Ka"">Read more on Last.fm</a>","['Dr. Yen Lo', 'Roc Marciano', 'Mach-Hommy', 'E L U C I D']"
22,Kid Cudi,4055888,221447116,"Scott Ramon Seguro Mescudi (born January 30, 1984 in Shaker Heights, Ohio, United States), better known by his stage name KiD CuDi, is a Grammy award nominated rapper, singer and actor who first gained attention after the release of his debut mixtape A Kid Named Cudi which he released in 2008 in collaboration with New York street wear brand 10.Deep. The mixtape caught the attention of Kanye West and led to Cudi's signing to the G.O.O.D. Music Label. <a href=""https://www.last.fm/music/Kid+Cudi"">Read more on Last.fm</a>","['KIDS SEE GHOSTS', 'Kanye West', 'Pusha T', 'A$AP Rocky']"
23,K.A.A.N.,102163,3431281,"Maryland-based rapper Brandon Perry, known as Knowledge Above All Nonsense (abbreviated to K.A.A.N), is best known for his cynical, twisted tracks and fast bars. His music is heavily influenced by the abuse he has experienced, including substances, his musical idols growing up, his depression and anxiety, and his struggle to grow his fan-base. K.A.A.N is not one to use simple language – his vocabulary is far larger than that of other rappers around and he flaunts it within his tracks often. <a href=""https://www.last.fm/music/K.A.A.N."">Read more on Last.fm</a>","['Anonymuz', 'Joyner Lucas', 'Vin Jay', 'Token']"
24,K.A.A.N.,102163,3431281,"Maryland-based rapper Brandon Perry, known as Knowledge Above All Nonsense (abbreviated to K.A.A.N), is best known for his cynical, twisted tracks and fast bars. His music is heavily influenced by the abuse he has experienced, including substances, his musical idols growing up, his depression and anxiety, and his struggle to grow his fan-base. K.A.A.N is not one to use simple language – his vocabulary is far larger than that of other rappers around and he flaunts it within his tracks often. <a href=""https://www.last.fm/music/K.A.A.N."">Read more on Last.fm</a>","['Anonymuz', 'Joyner Lucas', 'Vin Jay', 'Token']"
25,Guilty Simpson,144337,1773708,"Guilty Simpson was born in Detroit, the son and grandson of the family’s performing musicians in his father and grandfather. At age four, Simpson and his mother began traveling with an aunt in the military, living in California and Birmingham, Alabama, before settling back in the Motor City at 15. Big Daddy Kane, N.W.A, and Scarface were all major influences, but it was Queens-bred street bard Kool G Rap who made the biggest impression. “That’s my crème de la crème rapper right there <a href=""https://www.last.fm/music/Guilty+Simpson"">Read more on Last.fm</a>","['Sean Price', 'Torae', 'Diamond D', 'Jaylib']"
