,Artista,Pais_origen,Area_origen,Fecha_ini_act,Fecha_fin_act,Genero
0,Bad Bunny,Puerto Rico,San Juan,1994-03-10,,male
1,Feid,Colombia,Medellín,1992-08-19,,male
2,Shakira,Colombia,Barranquilla,1977-02-02,,female
3,Ozuna,Puerto Rico,San Juan,1992-03-13,,male
4,Rauw Alejandro,Puerto Rico,San Juan,1993-01-10,,male
5,G. G. Anderson,Germany,Eschwege,1949-12-04,,male
6,Luis Fonsi,Puerto Rico,San Juan,1978-04-15,,male
7,Gente de Zona,Cuba,La Habana,2000,,no data
8,Chuwi,no data,Puerto Rico,2020,,no data
9,Mima,Puerto Rico,no data,no data,,female
10,Nacho Vegas,Spain,Gijón,1974-12-09,,male
11,Mitú,Colombia,no data,no data,,no data
12,Isabella Lovestory,Canada,Honduras,1993-11-30,,female
13,Billy Ocean,United Kingdom,Siparia,1950-01-21,,male
14,Luna,United States,New York,1991,True,no data
15,G. G. Anderson,Germany,Eschwege,1949-12-04,,male
16,Sofía Reyes,Mexico,Monterrey,1995-09-25,,female
17,Los Lobos,United States,Los Angeles,1973,,no data
18,Bebo Dumont,no data,no data,no data,,male
19,Bad Gyal,Catalunya,Vilassar de Mar,1997-03-07,,female
20,miko,Japan,Chiba,1988-03-25,,female
21,Hottest,no data,no data,no data,,no data
22,Galo,United States,no data,no data,,male
23,SOG,Wellington,no data,no data,,no data
24,Piso 21,Colombia,no data,no data,,no data
25,Mula,Dominican Republic,no data,no data,,no data
26,Jarina De Marco,Brooklyn,Dominican Republic,1990,,female
27,Calma Carmona,Puerto Rico,no data,1984-08-27,,female
28,Beéle,Colombia,Barranquilla,2003,,male
29,Black Guayaba,Puerto Rico,San Juan,2000,,no data
30,PIQUETE,Puerto Rico,Puerto Rico,no data,,no data
31,Cardi B,United States,The Bronx,1992-10-11,,female
32,ÌFÉ,San Juan,no data,no data,,no data
33,Yandel,Puerto Rico,no data,1977-01-14,,male
34,Bacilos,United States,Miami,1995,,no data
35,SF,New Zealand,no data,no data,,no data
36,Belinda Carlisle,United States,Los Angeles,1958-08-17,,female
37,Yng Lvcas,no data,no data,no data,,male
38,Mint Field,Tijuana,no data,no data,,no data
39,Mario Bautista,Mexico,no data,no data,,male
40,Karen Rose,United States,no data,no data,,female
41,Lagos,Germany,no data,no data,,male
42,[data],no data,no data,no data,,not applicable
43,Marc Seguí,Spain,Mallorca,1998,,male
44,DannyLux,United States,no data,2004-03-12,,male
45,Zion I,United States,Oakland,1996,,no data
46,Gabriella Quevedo,Sweden,Kinna,1997-01-12,,female
47,iZaak,Puerto Rico,no data,1992,,male
48,J Balvin,Colombia,Medellín,1985-05-07,,male
49,Misa Negra,United Kingdom,no data,1998,,no data
50,Certified Trapper,United States,no data,no data,,male
51,Kali Uchis,United States,Alexandria,1994-07-17,,female
52,The Allman Brothers Band,United States,Macon,1969-03-26,True,no data
53,Similar,Puerto Rico,no data,2008,,no data
54,Bondy,no data,no data,no data,,no data
55,Tiago PZK,Argentina,Monte Grande,2001-08-03,,male
56,Tayko,no data,no data,no data,,no data
57,no data,no data,no data,no data,no data,no data
58,Colors,no data,no data,no data,,no data
59,Swave,no data,no data,no data,,no data
60,Siete Catorce,Mexico,no data,no data,,male
61,Ozomatli,United States,Los Angeles,1996,,no data
62,De La Ghetto,Puerto Rico,no data,1984-09-17,,male
63,Sebastián Yatra,Colombia,Medellín,1994-10-15,,male
64,Emina Jahović,Türkiye,Novi Pazar,1982-01-15,,female
65,Nicole Zignago,Peru,Lima,1995-12-27,,female
66,El Hijo de Borikén,Puerto Rico,no data,no data,,male
67,OKAN,Canada,Toronto,2016,,no data
68,Puya,Romania,no data,1979-07-22,,male
69,Dogos,no data,no data,no data,,no data
70,Sávila,Portland,no data,no data,,no data
71,HYRA,no data,Nicaragua,no data,,female
72,no data,no data,no data,no data,no data,no data
73,666,Germany,no data,1997,True,no data
74,no data,no data,no data,no data,no data,no data
75,Roberto Fonseca,Cuba,La Habana,1975-03-29,,male
76,no data,no data,no data,no data,no data,no data
77,Fofé Y Los Fetiches,Puerto Rico,no data,no data,,no data
78,Ezra Menas,no data,no data,no data,,no data
79,no data,no data,no data,no data,no data,no data
80,Skapulario,Puerto Rico,Puerto Rico,1992,,no data
81,Balún,Brooklyn,San Juan,2003-06,,no data
82,NUTOPIA,Norway,Norway,2008,,no data
83,Prettiest Eyes,Los Angeles,no data,no data,,no data
84,Alegría Rampante,San Juan,no data,no data,,no data
85,Vivanativa,Puerto Rico,no data,1997,,no data
86,no data,no data,no data,no data,no data,no data
87,San Cha,Los Angeles,no data,no data,,male
88,Circo,Puerto Rico,no data,2001,,no data
89,Grupo Galé,Colombia,no data,1989,,no data
90,Pachyman,Los Angeles,no data,no data,,no data
91,Polaris,Australia,Sydney,2012,,no data
92,Milos,Slovakia,no data,no data,,male
