,artista,listeners,playcount,biografia,artistas_similares
0,Bad Bunny,1446569,196512831,"Benito Antonio Martínez Ocasio (born March 10, 1994), known professionally as Bad Bunny, is a Puerto Rican singer, rapper, and producer based out of San Juan. Emerging in 2016, he quickly rose to national success on the strength of his early singles and soon signed with Hear This Music, an agency owned by fellow Puerto Ricans DJ Luian and Mambo Kingz. Appearances with Ñengo Flow, Anitta, and Ozuna soon followed and in early 2017, he kicked off an especially prolific run with the singles ""Pa Ti"" <a href=""https://www.last.fm/music/Bad+Bunny"">Read more on Last.fm</a>","['Rauw Alejandro', 'Mora', 'Jhayco', 'Feid']"
1,Bad Bunny,1446569,196512831,"Benito Antonio Martínez Ocasio (born March 10, 1994), known professionally as Bad Bunny, is a Puerto Rican singer, rapper, and producer based out of San Juan. Emerging in 2016, he quickly rose to national success on the strength of his early singles and soon signed with Hear This Music, an agency owned by fellow Puerto Ricans DJ Luian and Mambo Kingz. Appearances with Ñengo Flow, Anitta, and Ozuna soon followed and in early 2017, he kicked off an especially prolific run with the singles ""Pa Ti"" <a href=""https://www.last.fm/music/Bad+Bunny"">Read more on Last.fm</a>","['Rauw Alejandro', 'Mora', 'Jhayco', 'Feid']"
2,Feid,439072,36882187,"Salomón Villada Hoyos, also known as Ferxxo or Feid, is a prominent Colombian singer and songwriter in urban music. Born on August 19, 1992, in Medellín, Colombia, he developed a passion for music from a young age and participated in music extension courses with his parents. Starting with the clarinet, he later shifted his focus to his voice and became a member of the University of Antioquia choir.

Since 2015, Feid has dedicated himself to singing and songwriting <a href=""https://www.last.fm/music/Feid"">Read more on Last.fm</a>","['Mora', 'Jhayco', 'Myke Towers', 'Rauw Alejandro']"
3,Shakira,4014950,130591833,"Shakira Isabel Mebarak Ripoll is a Colombian singer. Born and raised in Barranquilla, She made her recording debut with Sony Music Colombia at the age of 13. Following the commercial failure of her first two albums, Magia (1991) and Peligro (1993), she rose to prominence in Hispanic countries with her next albums, Pies Descalzos (1995) and Dónde Están los Ladrones? (1998). She entered the English-language market with her fifth album, Laundry Service (2001), which sold over 13 million copies worldwide. <a href=""https://www.last.fm/music/Shakira"">Read more on Last.fm</a>","['Paulina Rubio', 'Karol G', 'Belinda', 'Thalía']"
4,Ozuna,699408,19504356,"Juan Carlos Ozuna Rosado (born March 13, 1992), known simply by his surname Ozuna , is a Puerto Rican Latin trap and reggaeton singer who is regarded as the "" New King of Reggaeton"". He has released two successful albums Odisea (2017) and Aura (2018), and since the beginning of his career, he has sold around 15 million records, making him one of the best-selling Latin music artists of all time. He made his acting debut in the film Que León. <a href=""https://www.last.fm/music/Ozuna"">Read more on Last.fm</a>","['Sech', 'Nicky Jam', 'Wisin', 'J Balvin']"
5,Rauw Alejandro,626777,42103221,"Raúl Alejandro Ocasio Ruiz, known professionally as Rauw Alejandro, is a Puerto Rican singer and rapper. Referred to as the ""King of Modern Reggaeton"", he belongs to ""the new generation"" of Puerto Rican urban musicians. His debut studio album, Afrodisíaco, was released in November 2020. His second studio album, Vice Versa, released in June 2021, featured the lead single ""Todo de Ti"". He has won one Latin Grammy Award from four nominations.

Rauw Alejandro's music style includes Latin R&B, reggaetón, rhythmic pop and ballads. <a href=""https://www.last.fm/music/Rauw+Alejandro"">Read more on Last.fm</a>","['Jhayco', 'Feid', 'Mora', 'Bad Bunny']"
6,Becky G,1118640,19205851,"Rebbeca Marie Gomez, ""Becky G"", (born in Los Angeles, March 2nd 1997) is an American rapper and singer/songwriter. Her musical career began in 2009 when she joined a girl group called ""G.L.A.M."", then later joined another girl group called ""BCG"" however she'd previously made small modeling and acting appearances. Becky's career was kickstarted in 2011 when she posted a remake of Kanye West and Jay-Z's ""Otis"" to YouTube. The video never went viral, however it was discovered by major music producer Dr. <a href=""https://www.last.fm/music/Becky+G"">Read more on Last.fm</a>","['Natti Natasha', 'Karol G', 'Sofía Reyes', 'Danna Paola']"
7,Luis Fonsi,1082010,12137814,"Luis Alfonso Rodríguez López-Cepero, more commonly known as Luis Fonsi, (born April 15, 1978 in San Juan, Puerto Rico) is a Latin Grammy winning Puerto Rican singer, composer and soap opera actor.

Fonsi and his family moved to Orlando, Florida, during Fonsi's early childhood. Fonsi's childhood was relatively average for kids his age, beginning to dream about becoming a member of Menudo, arguably Latin America's most famous boy band in history, around the time he was ten years old. <a href=""https://www.last.fm/music/Luis+Fonsi"">Read more on Last.fm</a>","['David Bisbal', 'Reik', 'Pablo Alborán', 'Piso 21']"
8,Gente de Zona,212012,1858968,"These Cubatoneros (all around the age of 25) are combining two voices in one DJ: Ale Delgado, Jacob Forever and DJ Nando Pro. From the beginning on, Gente de Zona has always enjoyed a huge acceptance from their audience and within a couple of months they were playing in the trendiest Havanna Clubs such as Casa de la Musica de Galiano, Casa de la Musica de Miramar, Makumba, Johnny Dream and Delirio Habanero. At the moment Gente de Zona is the hottest act in Cuba and their fans are coming from far away to join the gigs.  <a href=""https://www.last.fm/music/Gente+de+Zona"">Read more on Last.fm</a>","['Jacob Forever', 'Wisin', 'Chino & Nacho', 'Nicky Jam']"
9,CHUWI,2473,32781,"Chuwi es una banda que se fundó en el 2019 por lxs hermanxs Willy, Lorén y Wester desde Isabela, Puerto Rico. Juntxs exploran diversos géneros para expresar los temas del luto, la esperanza y la subjetividad de ser Puertorriqueñx. <a href=""https://www.last.fm/music/CHUWI"">Read more on Last.fm</a>","['Sebimor', 'Ana Macho', 'PJ Sin Suela', 'Chango Menas']"
