,artista,listeners,playcount,biografia,artistas_similares
0,Royel Otis,563660,8188792,"Dream pop duo Royel Otis is the brainchild of Otis Pavlovic and Royel Maddell. After living in New York for a few years, Royel returned home broke and started working in a bar, where he met Otis fresh out of school. After hanging around on a night out with friends, Otis showed Royel some of the demos he had been working on. Royel took them home and started matching with guitars and some Fat Boy Slim samples he stole during his time in NYC.

The two started having weekly catch upsand churning out tunes in Roy’s Bondi Beach sunroom <a href=""https://www.last.fm/music/Royel+Otis"">Read more on Last.fm</a>","['Spacey Jane', 'BBY', 'Lime Cordiale', 'The Rions']"
1,Imagine Dragons,3381991,198613561,"Imagine Dragons are a pop band which formed in 2008 in Las Vegas, Nevada, United States. The band consists of Dan Reynolds (vocals), Wayne Sermon (guitar) and Ben McKee (bass) . The band released four EPs - ""Imagine Dragons"" (2009), ""Hell and Silence"" (2010), ""It's Time"" (2011) and ""Continued Silence"" (2012) - before releasing their debut full length album ""Night Visions"" on 4 September 2012.

The band's single ""It's Time"", which previously appeared on the ""It's Time"" and ""Continued Silence"" EPs in addition to appearing on ""Night Visions"" <a href=""https://www.last.fm/music/Imagine+Dragons"">Read more on Last.fm</a>","['OneRepublic', 'American Authors', 'Bastille', 'X Ambassadors']"
2,Jon Pardi,252105,6390398,"Jon Pardi is an American country music singer and songwriter. Pardi has charted 14 singles on the Billboard Hot Country Songs and Country Airplay charts, with four hitting #1 on the latter: ""Head Over Boots"", ""Dirt On My Boots"", ""Heartache Medication"", and ""Last Night Lonely"". Signed to Capitol Nashville, he has released four studio albums: Write You A Song (2014), California Sunrise (2016), Heartache Medication (2019), and Mr. Saturday Night (2022). Pardi's music style is defined by neotraditional country influences. <a href=""https://www.last.fm/music/Jon+Pardi"">Read more on Last.fm</a>","['Billy Currington', 'Lee Brice', 'Jake Owen', 'Jason Aldean']"
3,Cole Swindell,199311,3587053,"Cole Swindell is a country music singer and songwriter. He has written singles for Craig Campbell, Thomas Rhett, Scotty McCreery, and Luke Bryan, and has released four albums for Warner Bros. Records Nashville. He has released 13 singles, eight of which have reached #1 on the Hot Country Songs and/or Country Airplay charts, with three more reaching the Top 10.

His parents are William Keith Swindell and Betty Carol Rainey. His father died unexpectedly on September 2, 2013, at 65. <a href=""https://www.last.fm/music/Cole+Swindell"">Read more on Last.fm</a>","['Chris Young', 'Lee Brice', 'Florida Georgia Line', 'Thomas Rhett']"
4,OneRepublic,3779293,111020303,"OneRepublic is an American pop-rock band formed in Colorado Springs, Colorado, in 2002. The lineup currently consists of Ryan Tedder (lead vocals, piano), Zach Filkins (lead guitar, viola), Drew Brown (rhythm guitar), Brent Kutzle (bass, cello), Eddie Fisher (drums), and Brian Willett (keyboards, violin).

The band achieved its first commercial success on Myspace as an unsigned act. In late 2002, after OneRepublic played shows throughout the Los Angeles area <a href=""https://www.last.fm/music/OneRepublic"">Read more on Last.fm</a>","['Imagine Dragons', 'The Script', 'Maroon 5', 'American Authors']"
5,The 1975,2142748,219106564,"The 1975 is an English pop band formed in 2002 in Wilmslow, Cheshire. Now based in Manchester, the band consists of lead vocalist, producer, lyricist and rhythm guitarist Matty Healy (the son of actors Denise Welch and Tim Healy), lead guitarist Adam Hann, bassist Ross MacDonald, and drummer/producer George Daniel.

The band's origins trace to their attendance at secondary school and playing together as teenagers. Initial efforts to sign with a label failed, leading to the band's manager Jamie Oborne to form Dirty Hit records. <a href=""https://www.last.fm/music/The+1975"">Read more on Last.fm</a>","['Inhaler', 'Bleachers', 'The Band CAMINO', 'Catfish and the Bottlemen']"
6,Dylan Scott,138128,1927318,"Curb Records recording artist Dylan Scott is a triple threat — a powerful vocalist with a deep, unmistakable drawl; an old-soul songwriter with a young spirit; and a family man with a tender heart.

The multi-Platinum singer has notched two #1 singles at radio (“My Girl” and “Nobody”), as well as Top 5 hit “Hooked.” Following his first career nomination for “Best New Country Artist” at the all-genre iHeartRadio Music Awards and a coveted spot among Country Radio Seminar’s New Faces of Country Music <a href=""https://www.last.fm/music/Dylan+Scott"">Read more on Last.fm</a>","['Jordan Davis', 'Tyler Hubbard', 'Russell Dickerson', 'Cole Swindell']"
7,Walker Hayes,164919,1670225,"Walker Hayes (born December 27, 1979) is an American pop country singer. He has charted three singles on Hot Country Songs and has released two albums. Hayes has recorded for both Capitol Records and Monument Records, with his highest chart entry being ""You Broke Up with Me"", from his 2017 album Boom. In August 2021, his song ""Fancy Like"" went viral on TikTok. <a href=""https://www.last.fm/music/Walker+Hayes"">Read more on Last.fm</a>","['Kane Brown', 'Niko Moon', 'Old Dominion', 'Jordan Davis']"
8,Imagine Dragons,3381991,198613561,"Imagine Dragons are a pop band which formed in 2008 in Las Vegas, Nevada, United States. The band consists of Dan Reynolds (vocals), Wayne Sermon (guitar) and Ben McKee (bass) . The band released four EPs - ""Imagine Dragons"" (2009), ""Hell and Silence"" (2010), ""It's Time"" (2011) and ""Continued Silence"" (2012) - before releasing their debut full length album ""Night Visions"" on 4 September 2012.

The band's single ""It's Time"", which previously appeared on the ""It's Time"" and ""Continued Silence"" EPs in addition to appearing on ""Night Visions"" <a href=""https://www.last.fm/music/Imagine+Dragons"">Read more on Last.fm</a>","['OneRepublic', 'American Authors', 'Bastille', 'X Ambassadors']"
9,House of Pain,1077598,8403058,"House of Pain was an Irish-styled American hip-hop group who released three albums in the early to mid 90's before lead rapper Everlast decided to pursue his solo career again. The group is best known for its 1992 hit single Jump Around.

The band's history starts with a failed short solo career, Everlast teamed up with DJ Lethal and high school friend Danny Boy to form House of Pain. The group was signed to Tommy Boy Records, and their self-titled debut album (1992) went multi-platinum <a href=""https://www.last.fm/music/House+of+Pain"">Read more on Last.fm</a>","['Naughty By Nature', 'Cypress Hill', 'Onyx', 'Funkdoobiest']"
