,Artista,Album,Cancion,Año Lanzamiento,Total tracks
0,Ozuna,Nibiru,Baila Baila Baila,2019-11-29,18
1,Gente De Zona,Muchacha,Muchacha,2020-04-23,1
2,¿Téo?,¡BANG BANG!,DURO,2024-07-26,2
3,Luis Fonsi,Bésame,Bésame,2021-06-04,1
4,¿Téo?,Sol,Buena,2021-06-11,12
5,Gente De Zona,De Menor a Mayor,Muchacha,2022-04-08,11
6,Gente De Zona,Feliz,Feliz,2023-08-30,1
7,Chuwi,Tierra,Mundi,2024-03-23,5
8,¿Téo?,Luna,A Mi Cama,2023-08-18,12
9,Luis Fonsi,Ley De Gravedad,Bésame,2022-03-11,16
10,Mayani Swave,Playlist,Playlist,2023-12-08,1
11,Ozuna,Cosmo,La 65,2023-11-17,15
12,Chuwi,Pan,Uwu,2022-10-28,4
13,Ozuna,Nibiru,Danzau,2019-11-29,18
14,Mima,El arca de Mima,El arca de Mima,2021-06-13,1
15,La Banda Algarete,"Algaretetime , Algaretetime",Algaretetime,2012-01-21,8
16,Gente De Zona,De Menor a Mayor,Ella,2022-04-08,11
17,Okan,Okantomi,Okantomi,2023-11-08,9
18,Danny Ocean,Latino Hits 2024,AMOR,2024-03-16,44
19,Luna Luna,L.L.,La Calma,2023-09-29,6
20,Danny Ocean,Latino Hits 2024,Brisa,2024-03-16,44
21,KAROL G,ODISEA,ODISEA,2021-03-25,1
22,Los Petardos!,Can-Can,Azul,2023-06-30,7
23,Elsa y Elmar,VISTO,VISTO,2024-06-07,3
24,Seba Otero,Salitre,Salitre,2022-11-04,8
25,Black Guayaba,La Fábrica de Sueños,Vámono',2024-05-24,7
26,Sofía Reyes,Latino Hits 2024,tqum,2024-03-16,44
27,Black Guayaba,La Fábrica de Sueños,Sueño Contigo,2024-05-24,7
28,Los Inconformes,Culpa,Culpa,2023-10-31,1
29,iLe,Almadura,De Luna,2019-05-10,12
30,Bebo Dumont,Ninguna,Ninguna,2023-11-22,1
31,Ximena Sariñana,Latino Hits 2024,¿Qué tiene?,2024-03-16,44
32,Young Miko,Mix: Lo Mejor de la Música Latina 2023,Lisa,2023-10-20,30
33,Labajura,Terrazza,Terrazza,2024-08-29,1
34,SOG,Latino Hits 2024,Pórtate mal,2024-03-16,44
35,Sí Señor,Like Divas,El Amor,2024-09-27,6
36,Mima,Mima,Mima,2005-06-05,10
37,Lucrecia Dalt,¡Ay!,Atemporal,2022-10-14,10
38,Piso 21,Latino Hits 2024,Sueltas,2024-03-16,44
39,KAROL G,Summer Latino 2022,PROVENZA,2022-05-06,28
40,Mima,Mima,Cae,2005-06-05,10
41,Lenny Tavárez,Latino Hits 2024,EMPELOTICA,2024-03-16,44
42,Chuwi,Tiroteo,Tiroteo,2021-04-07,1
43,Black Guayaba,La Fábrica de Sueños,Hacia el Futuro,2024-05-24,7
44,Hermes Croatto,A Tinti,A Tinti,2023-01-26,1
45,Tei Shi,La Linda,No Juegues,2019-11-15,10
46,Mima,Mima,Monín,2005-06-05,10
47,Saso,TIGRE,TIGRE,2023-08-25,1
48,ÌFÉ,0000+0000,Heart Full of Love,2021-11-05,11
49,Yandel,Latino Hits 2024,Borracho y loco,2024-03-16,44
50,Bacilos,Latino Hits 2024,Caraluna,2024-03-16,44
51,Davila 666,Secretos,Secretos,2023-11-02,6
52,La Lá,DEBUT,Suave amor,2023-09-22,7
53,Belinda,Latino Hits 2024,Cactus,2024-03-16,44
54,Mula,Mar,Mar,2024-09-27,1
55,Mint Field,Aprender a Ser: Extended,Ve hacia la ventana,2024-08-30,7
56,Anitta,Latino Hits 2024,El que espera,2024-03-16,44
57,Mint Field,Aprender a Ser,El Suspiro Cambia Todo,2023-10-27,10
58,Mario Bautista,Latino Hits 2024,Anónimo,2024-03-16,44
59,Elena Rose,Latino Hits 2024,Disculpa amiga,2024-03-16,44
60,LAGOS,Latino Hits 2024,Blanco y negro,2024-03-16,44
61,Bang Data,Mucho Poco,Bailazo,2014-10-14,10
62,B-Side Players,Movement,Baila,2001-09-11,11
63,Mitú,Astra,Yodo,2023-04-26,10
64,Marc Seguí,Viva Latinos,Tiroteo - Remix,2023-10-03,34
65,Zion & Lennox,Mega Hits Latinos,Otra vez,2024-01-30,30
66,Chuwi,Goldo,Chancleta,2020-05-17,3
67,J Balvin,Música Variada y de todo,Ginza,2021-05-28,34
68,iZaak,Top Hits Latinos 2023,Juqueando,2023-12-16,50
69,Feid,Hits del 2023,CLASSY 101,2023-12-22,25
70,Kali Uchis,Mix: Las Más Sonadas del 2023,Moonlight,2023-10-13,30
71,Lp Certified,Latina Lover,Latina Lover,2024-07-04,1
72,Kali Uchis,Lo mas copado del 2023,Moonlight,2023-12-16,32
