,Artista,Album,Cancion,Año Lanzamiento,Total tracks
0,Bad Bunny,nadie sabe lo que va a pasar mañana,PERRO NEGRO,2023-10-13,22
1,Myke Towers,LA VIDA ES UNA,LALA,2023-03-23,23
2,Kali Uchis,ORQUÍDEAS,Muñekita (with El Alfa & JT),2024-01-12,14
3,Ela Minus,BROKEN,BROKEN,2024-10-02,2
4,Alvaro Diaz,SAYONARA,BYAK,2024-05-17,20
5,Becky G,Arranca (feat. Omega),Arranca (feat. Omega),2023-03-10,1
6,iZaak,LUNA,LUNA,2024-08-16,1
7,J Balvin,Rayo,Swat,2024-08-09,15
8,Alvaro Diaz,BYAK,BYAK,2024-03-29,1
9,Kali Uchis,ORQUÍDEAS,Perdiste,2024-01-12,14
10,Feid,LUNA,LUNA,2024-03-01,1
11,Luna Luna,Si Una Vez,Si Una Vez,2023-10-27,1
12,¿Téo?,¡BANG BANG!,o my god.,2024-07-26,2
13,Myke Towers,LVEU: VIVE LA TUYA...NO LA MIA,LALA,2023-09-18,23
14,Mima,Bachaqué,Bachaqué,2023-11-19,1
15,Chuwi,Tierra,Mundi,2024-03-23,5
16,Cimafunk,Catalina,Catalina,2024-05-22,1
17,HYRA,About Us,About Us,2024-06-28,6
18,Ozuna,Afro,Curarme El Alma,2023-05-26,7
19,Tiago PZK,Latino Hits 2024,Piel,2024-03-16,44
20,HYRA,Fi2Fi,Fi2Fi,2024-05-24,3
21,Elsa y Elmar,PALACIO,VISTO,2024-08-29,12
22,Pachyman,Switched-On,Mi Sala,2023-09-29,10
23,Ryan Woods,Garden,Garden,2024-05-31,1
24,Rodrigo Solo,EGO,Roma,2024-05-24,8
25,¿Téo?,Luna,La Espera,2023-08-18,12
26,Sofía Reyes,Latino Hits 2024,COBARDE,2024-03-16,44
27,Chicano Batman,Fly,Fly,2024-01-23,1
28,Elsa y Elmar,VISTO,VISTO,2024-06-07,3
29,TOLEDO,Lindo Lindo,Lindo Lindo,2024-01-18,2
30,Danny Ocean,Latino Hits 2024,AMOR,2024-03-16,44
31,HYRA,Nostalgia,Nostalgia,2024-04-05,2
32,Danny Ocean,Latino Hits 2024,Brisa,2024-03-16,44
33,Kany García,Lo Más Escuchado del 2023,Agüita e Coco,2023-12-14,10
34,Twin Seas,LUNA,LUNA,2024-05-14,2
35,FARIANA,UNDERWATER,EL VIBE,2024-09-19,19
36,Mabe Fratti,Sentir Que No Sabes,Pantalla azul,2024-06-28,13
37,HYRA,Lavender,Lavender,2024-02-16,1
38,Sofía Reyes,Latino Hits 2024,tqum,2024-03-16,44
39,Mabe Fratti,Sentir Que No Sabes,Oídos,2024-06-28,13
40,Mayani Swave,12345678,12345678,2024-07-07,1
41,SOG,Latino Hits 2024,Pórtate mal,2024-03-16,44
42,Bebo Dumont,SINSE,SINSE,2024-05-31,1
43,HYRA,Gone Girl,Gone Girl,2024-09-27,1
44,Black Guayaba,La Fábrica de Sueños,Sueño Contigo,2024-05-24,7
45,Myke Towers,pop songs 2024,ADIVINO,2024-05-18,45
46,Los Wálters,El Plan,El Plan,2024-07-12,1
47,Bebo Dumont,Ninguna,Ninguna,2023-11-22,1
48,Ximena Sariñana,Latino Hits 2024,¿Qué tiene?,2024-03-16,44
49,Lenny Tavárez,Latino Hits 2024,EMPELOTICA,2024-03-16,44
50,Los Inconformes,Culpa,Culpa,2023-10-31,1
51,Pachyman,Switched-On,Nua!,2023-09-29,10
52,Black Guayaba,La Fábrica de Sueños,Nadie,2024-05-24,7
53,Cardi B,Latino Hits 2024,I Like It,2024-03-16,44
54,DRIMS,Caster y Roxy,Caster y Roxy,2024-08-23,1
55,Black Guayaba,La Fábrica de Sueños,Cielo,2024-05-24,7
56,GIFT,Illuminator,Glow,2024-08-23,11
57,Yandel,Latino Hits 2024,Borracho y loco,2024-03-16,44
58,Hermes Croatto,A Tinti,A Tinti,2023-01-26,1
59,2024 Hottest Songs,Hottest Songs Mix Up,Latin Hit,2024-01-25,5
60,Young Miko,Mix: Lo Mejor de la Música Latina 2023,Lisa,2023-10-20,30
61,Seba Otero,Guarapo y Flor,Guarapo y Flor,2023-07-21,1
62,Yng Lvcas,Latino Hits 2024,Wazap,2024-03-16,44
63,Mario Bautista,Latino Hits 2024,Anónimo,2024-03-16,44
64,Technicolor Fabrics,Manto,Manto,2024-07-12,1
65,Black Guayaba,La Fábrica de Sueños,Hacia el Futuro,2024-05-24,7
66,Mickey Destro,Lola,Lola - Radio Edit,2024-06-08,2
67,Elena Rose,Latino Hits 2024,Disculpa amiga,2024-03-16,44
68,Tiago PZK,LATIN MUSIC 2024,Alegría,2024-09-12,50
69,Danny Polo,EL JUEGO,EL JUEGO,2024-09-12,1
70,Glass Collective,Miénteme,Miénteme,2024-08-14,1
71,Lp Certified,Latina Lover,Latina Lover,2024-07-04,1
72,DannyLux,Latino Hits 2024,HOUSE OF LUX,2024-03-16,44
73,Mula,Mar,Mar,2024-09-27,1
74,Beéle,Lo Más Escuchado del 2023,Guaro,2023-12-14,5
75,Puya,POTENCIAL,Cultura,2024-05-24,8
76,Maria Becerra,Latino Hits 2024,Piscina,2024-03-16,44
77,Candy Colors,Brotherhood,Brotherhood,2024-04-30,1
78,Quevedo,Latino Hits 2024,Playa del inglés,2024-03-16,44
79,LatinaSpot,LatinaSpot,Latina Spots - Radio Edit,2024-05-20,2
80,Labajura,Terrazza,Terrazza,2024-08-29,1
81,Mabe Fratti,Sentir Que No Sabes,Descubrimos un suspiro,2024-06-28,13
