,Artista,Album,Cancion,Año Lanzamiento,Total tracks
0,Bad Bunny,EL ÚLTIMO TOUR DEL MUNDO,DÁKITI,2020-11-27,16
1,Bad Bunny,DÁKITI,DÁKITI,2020-10-30,1
2,Feid,CLASSY 101,CLASSY 101,2023-03-31,1
3,Shakira,Monotonía,Monotonía,2022-10-19,1
4,Ozuna,Nibiru,Baila Baila Baila,2019-11-29,18
5,Rauw Alejandro,Tattoo,Tattoo,2020-02-13,1
6,Becky G,boomerang,boomerang,2024-03-15,1
7,Luis Fonsi,Bésame,Bésame,2021-06-04,1
8,Gente De Zona,Feliz,Feliz,2023-08-30,1
9,Chuwi,Tierra,Mundi,2024-03-23,5
10,Mima,Bachaqué,Bachaqué,2023-11-19,1
11,Gente De Zona,Demasiado,Feliz,2024-04-18,10
12,Chuwi,Pan,Tikiri,2022-10-28,4
13,Ozuna,Cosmo,La 65,2023-11-17,15
14,Gente De Zona,OTRA COSA,Momento,2019-05-24,16
15,Ozuna,OzuTochi,La Copa,2022-10-07,18
16,Chuwi,Pan,Uwu,2022-10-28,4
17,Nacho,Miami,Miami,2024-07-25,1
18,Mitú,Astra,Nene,2023-04-26,10
19,Ozuna,Nibiru,Danzau,2019-11-29,18
20,Isabella Lovestory,Latina,Latina,2023-03-15,1
21,Ozuna,4:22,4:22,2022-10-06,1
22,Mima,El arca de Mima,El arca de Mima,2021-06-13,1
23,Mima,La máquina patinaba,La máquina patinaba,2014-12-02,1
24,Danny Ocean,Latino Hits 2024,AMOR,2024-03-16,44
25,Ozuna,Un Reel,Un Reel,2022-10-06,1
26,Luna Luna,L.L.,La Calma,2023-09-29,6
27,Danny Ocean,Latino Hits 2024,Brisa,2024-03-16,44
28,KAROL G,ODISEA,ODISEA,2021-03-25,1
29,Sofía Reyes,Latino Hits 2024,tqum,2024-03-16,44
30,Mima,El Pozo,La Princesa,2011-10-05,11
31,Los Inconformes,Culpa,Culpa,2023-10-31,1
32,Bebo Dumont,Ninguna,Ninguna,2023-11-22,1
33,Bad Gyal,Top Canciones LATAM,Chulo pt.2,2023-09-01,30
34,Young Miko,Mix: Lo Mejor de la Música Latina 2023,Lisa,2023-10-20,30
35,2024 Hottest Songs,Hottest Songs Mix Up,Latin Hit,2024-01-25,5
36,Von Galo,Calling,Calling,2024-10-04,3
37,SOG,Latino Hits 2024,Pórtate mal,2024-03-16,44
38,Mima,Mima,Mima,2005-06-05,10
39,Piso 21,Latino Hits 2024,Sueltas,2024-03-16,44
40,Mima,Mima,Cae,2005-06-05,10
41,Mula,Ven Vamos,Ven Vamos,2022-08-05,1
42,Jarina De Marco,Vacío,Vacío,2021-09-02,1
43,Calma Carmona,Where did you go?,Where did you go?,2024-07-26,1
44,Beéle,Lo Más Escuchado del 2023,Guaro,2023-12-14,5
45,Black Guayaba,La Fábrica de Sueños,Cielo,2024-05-24,7
46,Chuwi,Tiroteo,Tiroteo,2021-04-07,1
47,Mima,El Pozo,Ojo avizor,2011-10-05,11
48,PIQUETE,Fluir,Fluir,2019-10-26,1
49,Cardi B,Latino Hits 2024,I Like It,2024-03-16,44
50,Mima,Mima,Monín,2005-06-05,10
51,ÌFÉ,0000+0000,Heart Full of Love,2021-11-05,11
52,Yandel,Latino Hits 2024,Borracho y loco,2024-03-16,44
53,Bacilos,Latino Hits 2024,Caraluna,2024-03-16,44
54,LA GENTE SF,Borderless,Morena,2020-01-24,6
55,Belinda,Latino Hits 2024,Cactus,2024-03-16,44
56,Yng Lvcas,Latino Hits 2024,Wazap,2024-03-16,44
57,Mint Field,Aprender a Ser,El Suspiro Cambia Todo,2023-10-27,10
58,Von Galo,Tiempo,Tiempo,2023-04-28,1
59,Mario Bautista,Latino Hits 2024,Anónimo,2024-03-16,44
60,Elena Rose,Latino Hits 2024,Disculpa amiga,2024-03-16,44
61,LAGOS,Latino Hits 2024,Blanco y negro,2024-03-16,44
62,Bang Data,Mucho Poco,Bailazo,2014-10-14,10
63,Mitú,Astra,Yodo,2023-04-26,10
64,Marc Seguí,Viva Latinos,Tiroteo - Remix,2023-10-03,34
65,DannyLux,Latino Hits 2024,HOUSE OF LUX,2024-03-16,44
66,Mint Field,Aprender a Ser,Orquídea,2023-10-27,10
67,Zion & Lennox,Mega Hits Latinos,Otra vez,2024-01-30,30
68,Quevedo,Latino Hits 2024,Playa del inglés,2024-03-16,44
69,iZaak,Top Hits Latinos 2023,Juqueando,2023-12-16,50
70,J Balvin,Música Variada y de todo,Ginza,2021-05-28,34
71,La Misa Negra,La Misa Negra,Tierra,2017-09-29,13
72,Lp Certified,Latina Lover,Latina Lover,2024-07-04,1
73,Kali Uchis,Lo mas copado del 2023,Moonlight,2023-12-16,32
74,Meridian Brothers,Mi Latinoamérica Sufre,Mis soledades,2024-07-12,11
75,Similar,상상,상상 (feat. Somm),2016-12-21,2
76,Bad Bondy,latino rap,latino rap,2024-07-11,1
77,Tiago PZK,Latino Hits 2024,Me enteré,2024-03-16,44
78,Tayko,Ecolocalización,Bunta,2023-09-08,15
79,BluNites,Diabla,Diabla,2024-07-01,1
80,Mint Field,Sensibilidad dormida,Sensibilidad dormida,2024-07-24,3
81,Candy Colors,Brotherhood,Brotherhood,2024-04-30,1
82,ÌFÉ,IIII+IIII,HIGHER LOVE,2017-03-31,9
83,Mayani Swave,Playlist (Spanish Remix),Playlist (Spanish Remix),2024-01-22,1
84,Siete Catorce,Cruda,Cheve,2022-04-26,9
85,Ozomatli,Sacude,Sacude,2022-03-25,1
86,Mint Field,Aprender a Ser,Sueño Despierto,2023-10-27,10
87,De La Ghetto,Latino Hits 2024,La fórmula,2024-03-16,44
88,Mint Field,Sentimiento Mundial,Nadie te esta persiguiendo,2020-09-25,11
89,Feid,Top Latin Hits 2023,FERXXO 30,2023-12-16,20
90,Sebastian Yatra,Top Latin Hits 2023,Energía Bacana,2023-12-16,20
91,Émina,Kingky,Kingky,2019-04-23,1
92,Mint Field,Ve hacia la ventana,Ve hacia la ventana,2024-05-29,1
93,LA GENTE SF,Borderless,En La Parranda,2020-01-24,6
94,Mima,El Pozo,La Parusía,2011-10-05,11
95,Feid,Hits 2023: Reggaetón,BUBALU,2023-11-10,25
96,Bacilos,Facho,Facho,2024-04-19,1
97,Nicole Zignago,Pop Latino 2024,mimos,2024-07-12,50
98,El Hijo de Borikén,M.G.M.,Naipe,2021-05-14,3
99,Calma Carmona,MQP,MQP,2023-08-25,1
100,Okan,Okantomi,Guerrero,2023-11-08,9
101,Puya,POTENCIAL,Puya Tuya,2024-05-24,8
102,Similar,상상,상상 (feat. Somm),2016-12-21,2
103,Dogos,Una Vez,Una Vez,2023-04-24,1
104,Ozomatli,Marching On,Mula,2022-07-15,11
105,Mint Field,Aprender a Ser,Nuevo Sol,2023-10-27,10
106,Sávila,Sávila,Lineas,2018-08-20,10
107,Ozomatli,Non-Stop: Mexico to Jamaica,Eres,2017-05-05,14
108,Tayko,Ecolocalización,Bunta,2023-09-08,15
109,BluNites,Diabla,Diabla,2024-07-01,1
110,Puya,POTENCIAL,Potencial,2024-05-24,8
111,HYRA,About Us,Fi2Fi,2024-06-28,6
112,Mint Field,Sensibilidad dormida,Sensibilidad dormida,2024-07-24,3
113,¿Téo?,UNI2,UNI2,2020-05-08,1
114,Davila 666,Secretos,Zona Roja,2023-11-02,6
115,ÌFÉ,IIII+IIII,HIGHER LOVE,2017-03-31,9
116,Mayani Swave,Playlist (Spanish Remix),Playlist (Spanish Remix),2024-01-22,1
117,Sebimor,Huella,Huella,2023-10-06,1
118,Roberto Fonseca,La Gran Diversión,Baila Mulata,2023-09-22,10
119,Yongolailan,YEMAYA,Fuego Fatuo,2021-08-03,3
120,ÌFÉ,IIII+IIII,YUMAVISION,2017-03-31,9
121,Jarina De Marco,Monumento,Monumento,2023-11-14,1
122,Mint Field,Sentimiento Mundial,Nadie te esta persiguiendo,2020-09-25,11
123,Fofé Y Los Fetiches,Lujo Eterno,Barquito De Papel,2013-01-28,10
124,Chango Menas,El Sol,El Sol,2020-11-11,1
125,Émina,Kingky,Kingky,2019-04-23,1
126,Zuaraz,Bugambilia,Gea,2021-01-21,7
127,LA GENTE SF,Borderless,En La Parranda,2020-01-24,6
128,Skapulario,Animal,Animal,2003-06-24,12
129,HYRA,About Us,Nostalgia,2024-06-28,6
130,Mima,El Pozo,La Parusía,2011-10-05,11
131,Balún,Prisma Tropical,Años Atrás,2018-07-20,16
132,Nutopia,Otro Tiempo,Otro Tiempo,2023-02-22,1
133,Prettiest Eyes,Pools,Mire Nena,2017-11-03,12
134,El Hijo de Borikén,M.G.M.,Naipe,2021-05-14,3
135,Calma Carmona,MQP,MQP,2023-08-25,1
136,Mint Field,Soñé,Aire,2022-01-14,2
137,Alegría Rampante,Poblado,Jirafa,2022-04-08,12
138,Vivanativa,Viejo,Cúrame,2000-03-10,10
139,Ozomatli,Una Más,Una Más,2022-06-10,1
140,Monttenegro,Happiness,Happiness,2024-04-25,1
141,Mint Field,Aprender a Ser,Horizonte,2023-10-27,10
142,HYRA,About Us,The Invitation,2024-06-28,6
143,SAN CHA,Gay,Gay,2024-06-10,1
144,Circo,Auu,Auu,2022-12-22,1
145,Mitú,Astra,En Todas Partes,2023-04-26,10
146,Jarina De Marco,Bilingual,Bilingual,2018-08-07,1
147,Ozomatli,Place In The Sun,Ready To Go,2014-01-01,10
148,Ozomatli,Place In The Sun,Paleta,2014-01-01,10
149,GALE,D Pic,D Pic,2022-10-21,1
150,Mitú,Astra,Ilumina,2023-04-26,10
151,Pachyman,Sale el Sol,Sale el Sol,2023-09-25,3
152,Polaris,Suave,Suã-v,2024-02-08,1
153,Tayko,Ecolocalización,Headshot,2023-09-08,15
154,Mint Field,Aprender a Ser,Moronas,2023-10-27,10
155,Milos,Serendipia,La Carrera,2024-09-13,6
156,Milos,TOT,TOT,2022-06-24,1
157,Rubytates,Salida,Salida,2023-08-25,10
158,Seba Otero,Salitre,Salitre,2022-06-09,1
159,Cabra,MARTÍNEZ,Tiro Pa' Lante,2023-05-26,8
160,Mitú,TANDEM,ROMA,2019-10-04,12
161,Mitú,Cosmus,Fiebre,2017-08-25,11
162,ÌFÉ,0000+0000,Fake Blood,2021-11-05,11
163,Gina Chavez,Up.Rooted,Siete-D,2014-02-11,11
164,Jarina De Marco,Caribbean All-Inclusive Luxury,Fuego Lento,2023-09-05,9
165,Ley Vara,fire,fire,2023-12-01,1
166,Puya,Vital,Numbed,2014-11-28,12
167,NIKOLA,Làtigo,Làtigo,2023-08-18,1
168,Adri Torron,Verano Rosé,Verano Rosé,2023-06-30,5
169,RATAS,Divina,Divina,2023-11-03,1
170,JAVVI ELIAS,Suave,Suave,2023-01-13,1
171,ÌFÉ,0000+0000,Voodoo Economics (WolfMan),2021-11-05,11
