,0
0,Noah Kahan
1,Djo
2,Sabrina Carpenter
3,SZA
4,d4vd
5,Josh Meloy
6,Harry Styles
7,Suki Waterhouse
8,Lil Durk
9,beabadoobee
10,Drake
11,JID
12,Lizzy McAlpine
13,Taylor Swift
14,David Guetta
15,Wyatt Flores
16,Billie Eilish
17,ERNEST
18,LECADE
19,Omar Apollo
20,Lainey Wilson
21,Imagine Dragons
22,Meghan Trainor
23,Post Malone
24,Benson Boone
25,Tate McRae
26,OneRepublic
27,The Weeknd
28,Cults
29,JVKE
30,Chance Peña
31,Becky G
32,Conan Gray
33,Feid
34,Rema
35,Hotel Ugly
36,Joji
37,Dhruv
38,Alok
39,Warren Zeiders
40,Riley Green
41,Jack Harlow
42,Sam Smith
43,NewJeans
44,Bryan Martin
45,Swedish House Mafia
46,Tory Lanez
47,Doja Cat
48,Beyoncé
49,Ozuna
50,Sean Paul
51,Yuridia
52,Bizarrap
53,Hailey Whitters
54,ROSALÍA
55,Ethel Cain
56,David Kushner
57,Treaty Oak Revival
58,Marshmello
59,Riton
60,JIN
61,Kylie Morgan
62,Matt Hansen
63,Shaboozey
64,Alesso
65,Connor Price
66,Kenshi Yonezu
67,Sadie Jean
68,mgk
69,Imanbek
70,Manuel Turizo
71,Tyler Hubbard
72,Alec Benjamin
73,Megan Moroney
74,Big Thief
75,Dean Lewis
76,Macabre Plaza
77,Pharrell Williams
78,Ray LaMontagne
79,James Hype
80,Tiësto
81,Nicki Minaj
82,PinkPantheress
83,Dove Cameron
84,Orion Sun
85,charlieonnafriday
86,Rex Orange County
87,Chri$tian Gate$
88,Stray Kids
89,Kyle Hume
90,Russ
91,Cigarettes After Sex
92,Memphis May Fire
93,Ryan Mack
94,Felix Jaehn
95,We Came As Romans
96,Nate Smith
97,Emei
98,Lil Wayne
99,Nessa Barrett
100,Charlie Puth
101,Leith Ross
102,Lizzo
103,LE SSERAFIM
104,BTS
105,Vwillz
106,Chandler Leighton
107,MUNA
108,Nathan Dawe
109,Matt Schuster
110,BLACKPINK
111,Koe Wetzel
112,Mau y Ricky
113,Vance Joy
114,Sub Urban
115,NAYEON
116,Danny Ocean
117,Genevieve Stokes
118,Rauw Alejandro
119,RAYE
120,Sebastian Yatra
121,IVE
122,Gucci Mane
123,Jeremih
124,Shawn Mendes
125,Alex Warren
126,The 1975
127,ENHYPEN
128,Paris Paloma
129,Corey Kent
130,Kid Cudi
131,Dylan Conrique
132,VOILÀ
133,girl in red
134,Alicia Keys
135,Romeo Santos
136,Zach Top
137,Megan Thee Stallion
138,Camila Cabello
139,George Ezra
140,Stephen Dawes
141,DaBaby
142,Bailey Zimmerman
143,A Day To Remember
144,Hueston
145,Matisse
146,(G)I-DLE
147,Jay Webb
148,Jax Jones
149,Jackson Dean
150,Diddy
151,Charli xcx
152,Wild Rivers
153,Lauren Spencer Smith
154,Lojay
155,Josh Ross
156,Jax
157,AURORA
158,Parker McCollum
159,mazie
160,SEVENTEEN
161,Kim Petras
162,Kameron Marlowe
163,Tyga
164,Jamie Miller
165,Kate Bollinger
166,Stellar
167,Dreamville
168,Hailee Steinfeld
169,Chase McDaniel
170,Burna Boy
171,TWICE
172,Sean Stemaly
173,Florence + The Machine
174,Shakira
175,ATEEZ
176,Ado
177,The Red Clay Strays
178,salem ilese
179,Ian Munsick
180,Vince Guaraldi
181,Conner Smith
182,Diplo
183,Piso 21
184,Sam Barber
185,MOTO BANDIT
186,Nelly
187,Tokyo Tea Room
188,TOMORROW X TOGETHER
189,Loud Luxury
190,Ha*Ash
191,Stand Atlantic
192,Shwayze
193,NMIXX
194,The Lumineers
195,Ski Mask The Slump God
196,MEDUZA
197,Lady Gaga
198,Huey Mack
199,Fireboy DML
200,Izzamuzzic
201,Fujii Kaze
202,Oxlade
203,Río Roma
204,Ashley Cooke
205,Muscadine Bloodline
206,The Maine
207,Tom Odell
208,Kidd G
209,Cordae
210,GRAHAM
211,Chase Matthew
212,Dylan Schneider
213,Porter Robinson
214,Punctual
215,Jung Kook
216,Bette Midler
