,Artista,Album,Cancion,Año Lanzamiento,Total tracks
0,Jean Dawson,Houston,Houston,2024-09-20,1
1,Caye,202Ø,202Ø,2020-11-13,1
2,DaBaby,GRAMMY PARTY,GRAMMY PARTY,2024-02-29,1
3,Gucci Mane,Greatest Of All Trappers - Gangsta Grillz Edition,GOAT,2024-08-16,12
4,JZAC,2023,2023,2023-01-27,1
5,Bazanji,2022,2022,2022-01-07,1
6,Shordie Shordie,Hip Hop 2024,OkOk,2024-05-18,35
7,Token,LIAR,LIAR,2024-08-15,3
8,Token,LOSER,LOSER,2024-07-11,1
9,Campel,Hip-Hip,Hip-Hip,2024-06-03,1
10,Common,Dreamin',Dreamin',2024-06-11,2
11,A Boogie Wit da Hoodie,Top Hip-Hop 2022,Drowning,2022-08-05,25
12,Blu,Love (the) Ominous World,Undisputed,2024-09-20,12
13,N2DEEP,"Hip Hop 100 Hits - Urban rap & R n B anthems inc. Jay Z, A$ap Rocky, Wu-Tang Clan & Nas",Back to the Hotel,2019-04-19,100
14,Common,Wise Up,Wise Up,2024-05-22,1
15,K.A.A.N.,Delusions Of Grandeur,Nightmare,2024-05-10,12
16,Justin Stone,EXPIRE,EXPIRE,2024-07-26,1
17,Logic,Figure It Out,Figure It Out,2023-06-21,1
18,K.A.A.N.,In Due Time,Weight,2024-08-30,14
19,Ka,The Thief Next to Jesus,Collection Plate,2024-09-19,14
20,DJ Feedo,Top Hip Hop And R&B Songs,The Moon - Mix 3,2021-12-30,5
21,Ka,The Thief Next to Jesus,Soul and Spirit,2024-09-19,14
22,Kid Cudi,Best Hip Hop 2022,Mr. Rager,2022-09-16,20
23,K.A.A.N.,Delusions Of Grandeur,Destiny,2024-05-10,12
24,K.A.A.N.,"Warm It Up, K.A.A.N.","Warm It Up, K.A.A.N.",2024-08-16,1
25,Guilty Simpson,Giants Of The Fall,Giants Of The Fall,2024-04-26,1
26,Kurious,Unknown Species,Unknown Species,2024-08-14,1
27,Naughty By Nature,The Naughtiest,Hip Hop Hooray,2024-10-04,10
28,K.A.A.N.,Rat Race,Rat Race,2024-07-05,1
29,SWAVAY,BABY,BABY,2024-02-14,1
30,Justin Stone,maybe this year,i did it again :/,2022-09-02,7
31,Token,LIAR,LOSER,2024-08-15,3
32,K.A.A.N.,Delusions Of Grandeur,Delusions Of Grandeur,2024-05-10,12
33,P-Lo,Moovie! 2: The Yeequel,HIP-HOP,2024-07-08,13
34,K.A.A.N.,In Due Time,Rat Race,2024-08-30,14
35,Evening Stroll,Something Warm,Something Warm,2024-02-23,1
36,Ty Dolla $ign,2022,2022,2023-01-07,1
37,NF,Hip-Hop 50: The New Vanguard,CAREFUL,2023-08-03,10
38,MIKE,MAY GOD BLESS YOUR HUSTLE,Years/Alone,2017-06-21,16
39,Kodak Black,Hip Hop 2022,Super Gremlin,2022-06-03,35
40,Killer Mike,Michael (Rap Album of the Year),MOTHERLESS,2024-02-04,25
41,NLE Choppa,Hip Hop 2022,Capo,2022-06-03,35
42,konb,Fingers Crossed,Fingers Crossed,2024-03-22,1
43,sleeping with shoes on,Drift,Drift,2024-08-16,1
44,DaBaby,Hip Hop Gems,BOP,2022-11-03,25
45,Aesop Rock,Garbology,The Only Picture,2021-11-12,14
46,Justin Stone,LUCK,LUCK,2024-04-12,1
47,Yeek,Future Reference,Last Night In Town,2023-08-25,15
48,NLE Choppa,Rap & Trap Hits 2022,Capo,2022-06-03,25
49,DaBaby,GRAMMY PARTY,GRAMMY PARTY,2024-02-29,1
50,Rowlan,ACTION,ACTION,2024-07-18,1
51,K.A.A.N.,Clarity,Clarity,2023-02-17,1
52,DELIRIUM,2022 MUZIK!,2022 MUZIK!,2022-02-10,1
53,JZAC,2024,2024,2024-01-17,1
54,Mac Black,This Is Hip Hop,Solitude,2023-02-07,12
55,K.A.A.N.,Ignorance Is Bliss,Thankful,2023-05-19,15
56,Dstar,Stars the Limit,Hip Hop Music (feat. J Jawzz),2017-06-06,15
57,Moneybagg Yo,Most Streamed Rap Songs 2023,Quickie,2023-10-17,35
58,JZAC,2022,2022,2022-01-21,1
59,Hemanifezt,THIS IS HIP HOP,THIS IS HIP HOP,2024-09-10,1
60,Blu,Los Angeles,Heaven (feat. C.S. Armstrong),2024-07-12,13
61,GRIP,STILL (Five & A F*** You) [Deluxe],Intro,2023-07-07,11
62,sleeping with shoes on,Reasons,Reasons,2024-07-19,1
63,Murs,Bigger Dreams,Bigger Dreams,2024-05-01,1
64,Mr. Cream,Hip Hop 2020,Hip Hop 2020,2020-08-19,1
65,Maadmax Vibes,Still Hip Hop,Pop,2024-08-10,7
66,GINGE,Playing Around,Rapscallion,2024-09-13,13
67,Will Smith,"Hip Hop 100 Hits - Urban rap & R n B anthems inc. Jay Z, A$ap Rocky, Wu-Tang Clan & Nas",Gettin' Jiggy Wit It,2019-04-19,100
68,LOCS,Bright and Early,Bright and Early,2019-08-09,1
69,J-Shin,Top Hip-Hop 2022,One Night Stand,2022-08-05,25
70,Lil Mosey,Best Hip Hop 2022,Blueberry Faygo,2022-09-16,20
71,Lil Mosey,Hip Hop Hits 2023,Blueberry Faygo,2023-02-08,31
72,toilet dreamzzz,Glitch Hop,elements of Hip Hop,2024-06-01,12
73,Gucci Mane,Hip-Hop Hits,Make Love,2022-07-01,24
74,Supreme Allah,Hip Hop Lockdown,Hip Hop Lockdown,2024-08-12,1
75,FRANK MULLAH,HIP HOP CELEBRATION ACAPELLA AND HIP HOP SCRATCHES,HIP HOP CELEBRATION ACAPELLA AND HIP HOP SCRATCHES,2023-10-14,1
