,artista,cancion,tipo,nombre_album,total_tracks,año_lanzamiento
0,Taylor Swift,"You're On Your Own, Kid",track,Midnights (3am Edition),20,2022-10-22
1,The Lumineers,WHERE WE ARE,track,BRIGHTSIDE,9,2022-01-14
2,Ski Mask The Slump God,OOGA BOOGA!,track,OOGA BOOGA!,1,2022-10-25
3,MEDUZA,Bad Memories (feat. Elley Duhé & FAST BOY),track,Bad Memories (feat. Elley Duhé & FAST BOY),1,2022-07-22
4,Lady Gaga,Hold My Hand,track,"Hold My Hand (Music From The Motion Picture ""Top Gun: Maverick"")",1,2022-05-03
5,Big Thief,Change,track,Dragon New Warm Mountain I Believe In You,20,2022-02-11
6,d4vd,Dirty Secrets,track,Dirty Secrets,1,2022-04-27
7,ENHYPEN,Future Perfect (Pass the MIC),track,MANIFESTO : DAY 1,6,2022-07-04
8,Huey Mack,Carry Me Home (feat. Charles Wesley Godwin),track,The Cozy Bar,14,2022-10-21
9,Fireboy DML,Peru,track,Playboy,14,2022-08-04
10,Post Malone,Waiting For Never,track,Twelve Carat Toothache (Deluxe),16,2022-06-07
11,Drake,A Keeper,track,"Honestly, Nevermind",14,2022-06-17
12,Izzamuzzic,Shootout,track,Shootout,1,2022-06-30
13,Yuridia,¿Y Qué Tal Si Funciona?,track,Pa' Luego Es Tarde,14,2022-10-20
14,Connor Price,Chatter,track,Chatter,1,2022-12-02
15,Fujii Kaze,Matsuri,track,LOVE ALL SERVE ALL,11,2022-03-23
16,Tyga,Freaky Deaky,track,Freaky Deaky,1,2022-02-25
17,beabadoobee,10:36,track,Beatopia,14,2022-07-15
18,Josh Ross,First Taste of Gone,track,First Taste of Gone,1,2022-02-11
19,BLACKPINK,Shut Down,track,BORN PINK,8,2022-09-16
20,Rauw Alejandro,LOKERA,track,LOKERA,1,2022-07-25
21,Conan Gray,Yours,track,Superache,12,2022-06-24
22,Fireboy DML,Bandana,track,Playboy,14,2022-08-04
23,Oxlade,KU LO SA - A COLORS SHOW,track,KU LO SA - A COLORS SHOW,1,2022-06-10
24,Taylor Swift,Bejeweled,track,Midnights (3am Edition),20,2022-10-22
25,Río Roma,Tú Me Gustas,track,Tú Me Gustas,1,2022-03-04
26,Ashley Cooke,never til now,track,Already Drank That Beer,9,2022-04-01
27,Memphis May Fire,Make Believe,track,Make Believe,7,2022-02-18
28,Muscadine Bloodline,Dyin' For a Livin',track,Dispatch to 16th Ave.,9,2022-02-04
29,The Maine,Loved You A Little (with Taking Back Sunday and Charlotte Sands),track,Loved You A Little (with Taking Back Sunday and Charlotte Sands),1,2022-01-20
30,Tom Odell,Best Day Of My Life,track,Best Day of My Life,12,2022-10-28
31,Kidd G,People Talk,track,People Talk,1,2022-04-15
