,artista,cancion,tipo,nombre_album,total_tracks,año_lanzamiento
0,Big Thief,Vampire Empire,track,Vampire Empire,1,2023-07-19
1,Old Dominion,Memory Lane,track,Memory Lane,18,2023-10-06
2,Sam Hunt,Outskirts,track,Outskirts,1,2023-03-10
3,The Beaches,Blame Brett,track,Blame My Ex,10,2023-09-15
4,Hozier,Eat Your Young,track,Unreal Unearth,16,2023-08-18
5,Joey Valence & Brae,PUNK TACTICS,track,PUNK TACTICS,14,2023-09-08
6,Jason Aldean,Try That In A Small Town,track,Highway Desperado,14,2023-11-03
7,Hozier,Francesca,track,Unreal Unearth,16,2023-08-18
8,Thomas Rhett,Mamaw's House,track,Mamaw's House,1,2023-09-28
9,Hozier,De Selby (Part 2),track,Unreal Unearth,16,2023-08-18
10,Pierce The Veil,Pass The Nirvana,track,The Jaws Of Life,12,2023-02-10
11,Royel Otis,Sofa King,track,Sofa Kings,7,2023-03-31
12,Måneskin,GOSSIP (feat. Tom Morello),track,RUSH!,17,2023-01-20
13,Dominic Fike,How Much Is Weed?,track,Sunburn,15,2023-07-07
14,Thomas Rhett,Mamaw's House,track,20 Number Ones (Bonus Version),22,2023-09-29
15,Old Dominion,Memory Lane,track,Memory Lane,1,2023-01-05
16,The Rolling Stones,Honky Tonk Women,track,Forty Licks,40,2023-07-26
17,Pierce The Veil,Emergency Contact,track,The Jaws Of Life,12,2023-02-10
18,Lauren Daigle,Thank God I Do,track,Lauren Daigle,23,2023-09-08
19,Dominic Fike,Mona Lisa,track,Sunburn,15,2023-07-07
20,Colton Dixon,Build a Boat,track,Canvas,7,2023-04-28
21,Bee Gees,Stayin' Alive - Edited Version,track,ドライブが楽しくなる洋楽ヒッツ！70年代 DISCO,33,2023-05-30
22,Elle King,Drunk (And I Don't Wanna Go Home),track,Come Get Your Wife,13,2023-01-27
23,Dylan Scott,This Town's Been Too Good To Us,track,This Town's Been Too Good To Us,6,2023-06-02
24,The Beaches,Edge of the Earth,track,Blame My Ex,10,2023-09-15
25,Dominic Fike,Mona Lisa (Spider-Man: Across the Spider-Verse),track,Mona Lisa (Spider-Man: Across the Spider-Verse),1,2023-06-02
26,Hozier,First Time,track,Unreal Unearth,16,2023-08-18
27,Linkin Park,Lost,track,Lost,1,2023-02-10
28,Midrift,unrequited,track,unrequited,1,2023-05-05
29,Jack Black,Peaches,track,The Super Mario Bros. Movie (Original Motion Picture Soundtrack),37,2023-04-07
30,Parmalee,Girl In Mine,track,For You 2,18,2023-09-22
31,DECO*27,ラビットホール,track,ラビットホール,2,2023-05-20
32,Linkin Park,Fighting Myself,track,Meteora 20th Anniversary Edition,89,2023-04-07
33,Måneskin,BABY SAID,track,RUSH!,17,2023-01-20
34,Jason Aldean,Let Your Boys Be Country,track,Highway Desperado,14,2023-11-03
35,The National,The Alcott (feat. Taylor Swift),track,First Two Pages of Frankenstein,11,2023-04-28
36,Paramore,This Is Why,track,This Is Why,10,2023-02-10
37,Måneskin,GOSSIP (feat. Tom Morello),track,GOSSIP (feat. Tom Morello),1,2023-01-13
38,Joey Valence & Brae,HOOLIGANG,track,PUNK TACTICS,14,2023-09-08
39,Fall Out Boy,We Didn’t Start The Fire,track,We Didn’t Start The Fire,3,2023-06-28
40,Dominic Fike,Think Fast (feat. Weezer),track,Sunburn,15,2023-07-07
41,Linkin Park,Lost,track,Meteora 20th Anniversary Edition,89,2023-04-07
42,Gorillaz,New Gold (feat. Tame Impala and Bootie Brown),track,Cracker Island,10,2023-02-24
43,Hozier,Abstract (Psychopomp),track,Unreal Unearth,16,2023-08-18
44,Royel Otis,Kool Aid,track,Sofa Kings,7,2023-03-31
45,The Beatles,Hey Jude - 2015 Mix,track,The Beatles 1967 – 1970 (2023 Edition),37,2023-11-10
46,Unknown Mortal Orchestra,So Good at Being in Trouble,track,II (10 Year Anniversary Edition),17,2023-03-16
47,Pierce The Veil,Death Of An Executioner,track,The Jaws Of Life,12,2023-02-10
48,Big Daddy Weave,Heaven Changes Everything,track,Heaven Changes Everything,1,2023-03-10
49,Hozier,Damage Gets Done (feat. Brandi Carlile),track,Unreal Unearth,16,2023-08-18
50,Josiah and the Bonnevilles,Basic Channels,track,Endurance,13,2023-10-25
51,blink-182,ONE MORE TIME,track,ONE MORE TIME...,17,2023-10-20
52,Empire Of The Sun,We Are The People - southstar Remix,track,We Are The People (southstar Remix),1,2023-02-17
53,Slightly Stoopid,Got Me On The Run (with Stick Figure and Pepper),track,Got Me On The Run (with Stick Figure and Pepper),1,2023-11-10
54,Hozier,Eat Your Young,track,Eat Your Young,3,2023-03-17
55,Old Dominion,Can't Break Up Now,track,Memory Lane,18,2023-10-06
56,X Ambassadors,Happy People (with Teddy Swims & Jac Ross),track,Happy People (with Teddy Swims & Jac Ross),1,2023-05-24
57,Hozier,All Things End,track,Unreal Unearth,16,2023-08-18
58,Phil Wickham,I Believe,track,I Believe,14,2023-08-18
59,The Rolling Stones,Jumpin' Jack Flash,track,Forty Licks,40,2023-07-26
60,Lauren Daigle,These Are The Days,track,Lauren Daigle,23,2023-09-08
61,Phil Wickham,This Is Our God,track,I Believe,14,2023-08-18
62,Colton Dixon,Build a Boat (feat. Gabby Barrett),track,Build a Boat (feat. Gabby Barrett),1,2023-01-27
63,MAN WITH A MISSION,絆ノ奇跡,track,絆ノ奇跡,1,2023-04-10
64,Parmalee,Gonna Love You,track,For You 2,18,2023-09-22
65,Midrift,Burden,track,Elysian,5,2023-06-28
66,Måneskin,HONEY (ARE U COMING?),track,RUSH!,18,2023-01-20
67,The Beatles,Now And Then,track,Now And Then,2,2023-11-02
68,Fall Out Boy,We Didn’t Start The Fire (Bonus Track),track,So Much (For) Stardust,14,2023-03-24
69,Milky Chance,Living In A Haze,track,Living In A Haze,12,2023-06-09
70,Hozier,Who We Are,track,Unreal Unearth,16,2023-08-18
71,Hozier,First Light,track,Unreal Unearth,16,2023-08-18
72,Jason Aldean,Whiskey Drink,track,Highway Desperado,14,2023-11-03
73,Joey Valence & Brae,DANCE NOW,track,PUNK TACTICS,14,2023-09-08
74,Pierce The Veil,Even When I’m Not With You,track,The Jaws Of Life,12,2023-02-10
75,The Elovaters,Gimme Love,track,Endless Summer,14,2023-07-28
76,100 gecs,Dumbest Girl Alive,track,"10,000 gecs",10,2023-03-17
77,Metallica,Lux Æterna,track,72 Seasons,12,2023-04-14
78,Luke Bryan,But I Got A Beer In My Hand,track,But I Got A Beer In My Hand,1,2023-05-05
79,100 gecs,Hollywood Baby,track,"10,000 gecs",10,2023-03-17
80,Richy Mitch & The Coal Miners,Lake Missoula (feat. Mt. Joy),track,Lake Missoula (feat. Mt. Joy),1,2023-06-08
81,Hozier,Through Me (The Flood),track,Eat Your Young,3,2023-03-17
82,Gorillaz,Tormenta (feat. Bad Bunny),track,Cracker Island,10,2023-02-24
83,Fall Out Boy,Hold Me Like a Grudge,track,So Much (For) Stardust,14,2023-03-24
84,Daisy Jones & The Six,Look At Us Now (Honeycomb),track,AURORA,11,2023-03-02
85,Phil Wickham,This Is Our God,track,This Is Our God,1,2023-01-13
86,Josiah and the Bonnevilles,Jersey Giant,track,Country Covers,10,2023-01-27
87,Måneskin,SUPERMODEL,track,RUSH!,17,2023-01-20
88,Royel Otis,Going Kokomo,track,Sofa Kings,7,2023-03-31
89,Phil Wickham,Sunday Is Coming,track,I Believe,14,2023-08-18
90,Maretu,Binomi,track,Binomi,1,2023-03-24
91,Daughtry,Separate Ways (Worlds Apart),track,Separate Ways (Worlds Apart),1,2023-01-05
92,Crowder,Grave Robber,track,Grave Robber,1,2023-11-10
93,Rawayana,Hora Loca,track,¿Quién trae las cornetas?,22,2023-09-21
94,Portugal. The Man,Dummy,track,Chris Black Changed My Life,11,2023-06-23
95,Colton Dixon,My Light,track,My Light (Acoustic Version),2,2023-06-02
96,Fall Out Boy,Love From The Other Side,track,So Much (For) Stardust,14,2023-03-24
